Freq.	V(OUT)/V(COMP)
1.37088176616484e+00	(2.42780228245145e+01dB,-1.46787868808932e+01°)
1.37404197501251e+00	(2.42767355612859e+01dB,-1.47111583914178e+01°)
1.37720946889394e+00	(2.42754427404070e+01dB,-1.47435948883925e+01°)
1.38038426460287e+00	(2.42741443395463e+01dB,-1.47760964605954e+01°)
1.38356637897177e+00	(2.42728403362980e+01dB,-1.48086631966489e+01°)
1.38675582887188e+00	(2.42715307081818e+01dB,-1.48412951850186e+01°)
1.38995263121334e+00	(2.42702154326426e+01dB,-1.48739925140102e+01°)
1.39315680294529e+00	(2.42688944870480e+01dB,-1.49067552717626e+01°)
1.39636836105593e+00	(2.42675678486893e+01dB,-1.49395835462492e+01°)
1.39958732257261e+00	(2.42662354947846e+01dB,-1.49724774252795e+01°)
1.40281370456195e+00	(2.42648974024725e+01dB,-1.50054369964869e+01°)
1.40604752412990e+00	(2.42635535488172e+01dB,-1.50384623473355e+01°)
1.40928879842186e+00	(2.42622039108100e+01dB,-1.50715535651203e+01°)
1.41253754462274e+00	(2.42608484653574e+01dB,-1.51047107369445e+01°)
1.41579377995707e+00	(2.42594871892962e+01dB,-1.51379339497441e+01°)
1.41905752168908e+00	(2.42581200593855e+01dB,-1.51712232902709e+01°)
1.42232878712281e+00	(2.42567470523043e+01dB,-1.52045788450869e+01°)
1.42560759360218e+00	(2.42553681446594e+01dB,-1.52380007005759e+01°)
1.42889395851109e+00	(2.42539833129748e+01dB,-1.52714889429223e+01°)
1.43218789927353e+00	(2.42525925337041e+01dB,-1.53050436581308e+01°)
1.43548943335364e+00	(2.42511957832185e+01dB,-1.53386649320036e+01°)
1.43879857825583e+00	(2.42497930378137e+01dB,-1.53723528501498e+01°)
1.44211535152486e+00	(2.42483842737092e+01dB,-1.54061074979819e+01°)
1.44543977074592e+00	(2.42469694670429e+01dB,-1.54399289607044e+01°)
1.44877185354475e+00	(2.42455485938786e+01dB,-1.54738173233242e+01°)
1.45211161758773e+00	(2.42441216302024e+01dB,-1.55077726706429e+01°)
1.45545908058195e+00	(2.42426885519193e+01dB,-1.55417950872474e+01°)
1.45881426027534e+00	(2.42412493348594e+01dB,-1.55758846575191e+01°)
1.46217717445671e+00	(2.42398039547736e+01dB,-1.56100414656244e+01°)
1.46554784095590e+00	(2.42383523873345e+01dB,-1.56442655955128e+01°)
1.46892627764385e+00	(2.42368946081366e+01dB,-1.56785571309159e+01°)
1.47231250243271e+00	(2.42354305926950e+01dB,-1.57129161553427e+01°)
1.47570653327588e+00	(2.42339603164474e+01dB,-1.57473427520801e+01°)
1.47910838816819e+00	(2.42324837547540e+01dB,-1.57818370041906e+01°)
1.48251808514594e+00	(2.42310008828908e+01dB,-1.58163989944984e+01°)
1.48593564228699e+00	(2.42295116760647e+01dB,-1.58510288056135e+01°)
1.48936107771090e+00	(2.42280161093933e+01dB,-1.58857265198929e+01°)
1.49279440957898e+00	(2.42265141579220e+01dB,-1.59204922194696e+01°)
1.49623565609442e+00	(2.42250057966147e+01dB,-1.59553259862324e+01°)
1.49968483550236e+00	(2.42234910003559e+01dB,-1.59902279018281e+01°)
1.50314196609001e+00	(2.42219697439525e+01dB,-1.60251980476619e+01°)
1.50660706618673e+00	(2.42204420021301e+01dB,-1.60602365048877e+01°)
1.51008015416413e+00	(2.42189077495359e+01dB,-1.60953433544119e+01°)
1.51356124843619e+00	(2.42173669607381e+01dB,-1.61305186768887e+01°)
1.51705036745932e+00	(2.42158196102247e+01dB,-1.61657625527164e+01°)
1.52054752973248e+00	(2.42142656724010e+01dB,-1.62010750620287e+01°)
1.52405275379728e+00	(2.42127051215984e+01dB,-1.62364562847103e+01°)
1.52756605823806e+00	(2.42111379320651e+01dB,-1.62719063003754e+01°)
1.53108746168201e+00	(2.42095640779687e+01dB,-1.63074251883709e+01°)
1.53461698279928e+00	(2.42079835333995e+01dB,-1.63430130277797e+01°)
1.53815464030302e+00	(2.42063962723666e+01dB,-1.63786698974104e+01°)
1.54170045294954e+00	(2.42048022687967e+01dB,-1.64143958757927e+01°)
1.54525443953840e+00	(2.42032014965386e+01dB,-1.64501910411836e+01°)
1.54881661891247e+00	(2.42015939293616e+01dB,-1.64860554715607e+01°)
1.55238700995807e+00	(2.41999795409517e+01dB,-1.65219892446131e+01°)
1.55596563160506e+00	(2.41983583049199e+01dB,-1.65579924377542e+01°)
1.55955250282694e+00	(2.41967301947907e+01dB,-1.65940651280973e+01°)
1.56314764264094e+00	(2.41950951840102e+01dB,-1.66302073924675e+01°)
1.56675107010813e+00	(2.41934532459441e+01dB,-1.66664193073963e+01°)
1.57036280433354e+00	(2.41918043538807e+01dB,-1.67027009491235e+01°)
1.57398286446620e+00	(2.41901484810227e+01dB,-1.67390523935796e+01°)
1.57761126969933e+00	(2.41884856004940e+01dB,-1.67754737163949e+01°)
1.58124803927037e+00	(2.41868156853367e+01dB,-1.68119649928923e+01°)
1.58489319246110e+00	(2.41851387085159e+01dB,-1.68485262980926e+01°)
1.58854674859776e+00	(2.41834546429119e+01dB,-1.68851577066972e+01°)
1.59220872705115e+00	(2.41817634613231e+01dB,-1.69218592930901e+01°)
1.59587914723672e+00	(2.41800651364742e+01dB,-1.69586311313521e+01°)
1.59955802861465e+00	(2.41783596409993e+01dB,-1.69954732952240e+01°)
1.60324539069002e+00	(2.41766469474579e+01dB,-1.70323858581352e+01°)
1.60694125301286e+00	(2.41749270283274e+01dB,-1.70693688931867e+01°)
1.61064563517825e+00	(2.41731998560008e+01dB,-1.71064224731420e+01°)
1.61435855682647e+00	(2.41714654027956e+01dB,-1.71435466704437e+01°)
1.61808003764305e+00	(2.41697236409428e+01dB,-1.71807415571877e+01°)
1.62181009735891e+00	(2.41679745425944e+01dB,-1.72180072051345e+01°)
1.62554875575047e+00	(2.41662180798206e+01dB,-1.72553436857020e+01°)
1.62929603263970e+00	(2.41644542246135e+01dB,-1.72927510699689e+01°)
1.63305194789432e+00	(2.41626829488776e+01dB,-1.73302294286532e+01°)
1.63681652142779e+00	(2.41609042244435e+01dB,-1.73677788321356e+01°)
1.64058977319952e+00	(2.41591180230545e+01dB,-1.74053993504310e+01°)
1.64437172321491e+00	(2.41573243163761e+01dB,-1.74430910532034e+01°)
1.64816239152549e+00	(2.41555230759891e+01dB,-1.74808540097492e+01°)
1.65196179822900e+00	(2.41537142733984e+01dB,-1.75186882890120e+01°)
1.65576996346951e+00	(2.41518978800205e+01dB,-1.75565939595540e+01°)
1.65958690743754e+00	(2.41500738671970e+01dB,-1.75945710895803e+01°)
1.66341265037015e+00	(2.41482422061850e+01dB,-1.76326197469161e+01°)
1.66724721255104e+00	(2.41464028681588e+01dB,-1.76707399990067e+01°)
1.67109061431069e+00	(2.41445558242132e+01dB,-1.77089319129223e+01°)
1.67494287602642e+00	(2.41427010453646e+01dB,-1.77471955553555e+01°)
1.67880401812254e+00	(2.41408385025412e+01dB,-1.77855309925987e+01°)
1.68267406107045e+00	(2.41389681665958e+01dB,-1.78239382905666e+01°)
1.68655302538872e+00	(2.41370900082962e+01dB,-1.78624175147745e+01°)
1.69044093164324e+00	(2.41352039983314e+01dB,-1.79009687303460e+01°)
1.69433780044731e+00	(2.41333101073065e+01dB,-1.79395920020006e+01°)
1.69824365246172e+00	(2.41314083057477e+01dB,-1.79782873940604e+01°)
1.70215850839493e+00	(2.41294985640992e+01dB,-1.80170549704393e+01°)
1.70608238900310e+00	(2.41275808527220e+01dB,-1.80558947946388e+01°)
1.71001531509027e+00	(2.41256551418983e+01dB,-1.80948069297525e+01°)
1.71395730750840e+00	(2.41237214018285e+01dB,-1.81337914384570e+01°)
1.71790838715757e+00	(2.41217796026290e+01dB,-1.81728483830039e+01°)
1.72186857498599e+00	(2.41198297143419e+01dB,-1.82119778252370e+01°)
1.72583789199018e+00	(2.41178717069199e+01dB,-1.82511798265565e+01°)
1.72981635921508e+00	(2.41159055502391e+01dB,-1.82904544479422e+01°)
1.73380399775412e+00	(2.41139312140947e+01dB,-1.83298017499428e+01°)
1.73780082874935e+00	(2.41119486681993e+01dB,-1.83692217926667e+01°)
1.74180687339159e+00	(2.41099578821857e+01dB,-1.84087146357854e+01°)
1.74582215292048e+00	(2.41079588256054e+01dB,-1.84482803385273e+01°)
1.74984668862463e+00	(2.41059514679275e+01dB,-1.84879189596705e+01°)
1.75388050184174e+00	(2.41039357785431e+01dB,-1.85276305575498e+01°)
1.75792361395867e+00	(2.41019117267585e+01dB,-1.85674151900382e+01°)
1.76197604641161e+00	(2.40998792818057e+01dB,-1.86072729145659e+01°)
1.76603782068614e+00	(2.40978384128281e+01dB,-1.86472037880857e+01°)
1.77010895831740e+00	(2.40957890888953e+01dB,-1.86872078671013e+01°)
1.77418948089014e+00	(2.40937312789931e+01dB,-1.87272852076426e+01°)
1.77827941003890e+00	(2.40916649520248e+01dB,-1.87674358652646e+01°)
1.78237876744807e+00	(2.40895900768196e+01dB,-1.88076598950613e+01°)
1.78648757485203e+00	(2.40875066221192e+01dB,-1.88479573516341e+01°)
1.79060585403527e+00	(2.40854145565902e+01dB,-1.88883282891140e+01°)
1.79473362683250e+00	(2.40833138488170e+01dB,-1.89287727611433e+01°)
1.79887091512876e+00	(2.40812044673039e+01dB,-1.89692908208759e+01°)
1.80301774085954e+00	(2.40790863804743e+01dB,-1.90098825209714e+01°)
1.80717412601090e+00	(2.40769595566745e+01dB,-1.90505479136012e+01°)
1.81134009261958e+00	(2.40748239641664e+01dB,-1.90912870504271e+01°)
1.81551566277311e+00	(2.40726795711384e+01dB,-1.91320999826221e+01°)
1.81970085860996e+00	(2.40705263456945e+01dB,-1.91729867608426e+01°)
1.82389570231961e+00	(2.40683642558615e+01dB,-1.92139474352409e+01°)
1.82810021614272e+00	(2.40661932695835e+01dB,-1.92549820554481e+01°)
1.83231442237119e+00	(2.40640133547289e+01dB,-1.92960906705868e+01°)
1.83653834334832e+00	(2.40618244790857e+01dB,-1.93372733292560e+01°)
1.84077200146893e+00	(2.40596266103622e+01dB,-1.93785300795298e+01°)
1.84501541917945e+00	(2.40574197161888e+01dB,-1.94198609689560e+01°)
1.84926861897805e+00	(2.40552037641149e+01dB,-1.94612660445470e+01°)
1.85353162341478e+00	(2.40529787216146e+01dB,-1.95027453527870e+01°)
1.85780445509167e+00	(2.40507445560808e+01dB,-1.95442989396162e+01°)
1.86208713666284e+00	(2.40485012348276e+01dB,-1.95859268504309e+01°)
1.86637969083464e+00	(2.40462487250925e+01dB,-1.96276291300856e+01°)
1.87068214036577e+00	(2.40439869940339e+01dB,-1.96694058228828e+01°)
1.87499450806739e+00	(2.40417160087324e+01dB,-1.97112569725718e+01°)
1.87931681680324e+00	(2.40394357361905e+01dB,-1.97531826223449e+01°)
1.88364908948977e+00	(2.40371461433323e+01dB,-1.97951828148309e+01°)
1.88799134909627e+00	(2.40348471970044e+01dB,-1.98372575920949e+01°)
1.89234361864495e+00	(2.40325388639777e+01dB,-1.98794069956375e+01°)
1.89670592121112e+00	(2.40302211109435e+01dB,-1.99216310663818e+01°)
1.90107827992327e+00	(2.40278939045156e+01dB,-1.99639298446737e+01°)
1.90546071796322e+00	(2.40255572112359e+01dB,-2.00063033702918e+01°)
1.90985325856621e+00	(2.40232109975614e+01dB,-2.00487516824124e+01°)
1.91425592502106e+00	(2.40208552298770e+01dB,-2.00912748196345e+01°)
1.91866874067026e+00	(2.40184898744927e+01dB,-2.01338728199709e+01°)
1.92309172891013e+00	(2.40161148976396e+01dB,-2.01765457208326e+01°)
1.92752491319091e+00	(2.40137302654719e+01dB,-2.02192935590302e+01°)
1.93196831701689e+00	(2.40113359440695e+01dB,-2.02621163707761e+01°)
1.93642196394658e+00	(2.40089318994373e+01dB,-2.03050141916785e+01°)
1.94088587759275e+00	(2.40065180975017e+01dB,-2.03479870567283e+01°)
1.94536008162263e+00	(2.40040945041171e+01dB,-2.03910350003101e+01°)
1.94984459975802e+00	(2.40016610850592e+01dB,-2.04341580561836e+01°)
1.95433945577536e+00	(2.39992178060319e+01dB,-2.04773562574933e+01°)
1.95884467350596e+00	(2.39967646326620e+01dB,-2.05206296367536e+01°)
1.96336027683602e+00	(2.39943015305028e+01dB,-2.05639782258521e+01°)
1.96788628970681e+00	(2.39918284650345e+01dB,-2.06074020560464e+01°)
