Freq.	V(OUT)/V(INJ)
1.29717927098395e+00	(1.04726698111080e+02dB,7.93229021878089e+01°)
1.30016957803328e+00	(1.04704811301963e+02dB,7.92338334582334e+01°)
1.30316677845229e+00	(1.04682904892132e+02dB,7.91447364585050e+01°)
1.30617088813183e+00	(1.04660978857142e+02dB,7.90556110730207e+01°)
1.30918192299940e+00	(1.04639033172362e+02dB,7.89664571868806e+01°)
1.31219989901919e+00	(1.04617067812960e+02dB,7.88772746859039e+01°)
1.31522483219223e+00	(1.04595082753915e+02dB,7.87880634566256e+01°)
1.31825673855640e+00	(1.04573077970019e+02dB,7.86988233863024e+01°)
1.32129563418657e+00	(1.04551053435868e+02dB,7.86095543629378e+01°)
1.32434153519466e+00	(1.04529009125865e+02dB,7.85202562752789e+01°)
1.32739445772973e+00	(1.04506945014228e+02dB,7.84309290128149e+01°)
1.33045441797808e+00	(1.04484861074980e+02dB,7.83415724658111e+01°)
1.33352143216332e+00	(1.04462757281954e+02dB,7.82521865252950e+01°)
1.33659551654643e+00	(1.04440633608797e+02dB,7.81627710830654e+01°)
1.33967668742593e+00	(1.04418490028964e+02dB,7.80733260317204e+01°)
1.34276496113785e+00	(1.04396326515720e+02dB,7.79838512646458e+01°)
1.34586035405594e+00	(1.04374143042146e+02dB,7.78943466760233e+01°)
1.34896288259164e+00	(1.04351939581128e+02dB,7.78048121608604e+01°)
1.35207256319427e+00	(1.04329716105370e+02dB,7.77152476149709e+01°)
1.35518941235103e+00	(1.04307472587387e+02dB,7.76256529349996e+01°)
1.35831344658714e+00	(1.04285208999505e+02dB,7.75360280184308e+01°)
1.36144468246594e+00	(1.04262925313869e+02dB,7.74463727635821e+01°)
1.36458313658891e+00	(1.04240621502427e+02dB,7.73566870696415e+01°)
1.36772882559584e+00	(1.04218297536957e+02dB,7.72669708366310e+01°)
1.37088176616484e+00	(1.04195953389037e+02dB,7.71772239654682e+01°)
1.37404197501251e+00	(1.04173589030066e+02dB,7.70874463579308e+01°)
1.37720946889394e+00	(1.04151204431262e+02dB,7.69976379166840e+01°)
1.38038426460287e+00	(1.04128799563656e+02dB,7.69077985452882e+01°)
1.38356637897177e+00	(1.04106374398093e+02dB,7.68179281482063e+01°)
1.38675582887188e+00	(1.04083928905240e+02dB,7.67280266308092e+01°)
1.38995263121334e+00	(1.04061463055578e+02dB,7.66380938993859e+01°)
1.39315680294529e+00	(1.04038976819408e+02dB,7.65481298611477e+01°)
1.39636836105593e+00	(1.04016470166847e+02dB,7.64581344242493e+01°)
1.39958732257261e+00	(1.03993943067833e+02dB,7.63681074977786e+01°)
1.40281370456195e+00	(1.03971395492124e+02dB,7.62780489917837e+01°)
1.40604752412990e+00	(1.03948827409294e+02dB,7.61879588172616e+01°)
1.40928879842186e+00	(1.03926238788747e+02dB,7.60978368861767e+01°)
1.41253754462274e+00	(1.03903629599694e+02dB,7.60076831114825e+01°)
1.41579377995707e+00	(1.03880999811178e+02dB,7.59174974071022e+01°)
1.41905752168908e+00	(1.03858349392062e+02dB,7.58272796879546e+01°)
1.42232878712281e+00	(1.03835678311028e+02dB,7.57370298699628e+01°)
1.42560759360218e+00	(1.03812986536587e+02dB,7.56467478700512e+01°)
1.42889395851109e+00	(1.03790274037067e+02dB,7.55564336061692e+01°)
1.43218789927353e+00	(1.03767540780627e+02dB,7.54660869972792e+01°)
1.43548943335364e+00	(1.03744786735245e+02dB,7.53757079633861e+01°)
1.43879857825583e+00	(1.03722011868729e+02dB,7.52852964255329e+01°)
1.44211535152486e+00	(1.03699216148710e+02dB,7.51948523058075e+01°)
1.44543977074592e+00	(1.03676399542646e+02dB,7.51043755273647e+01°)
