Freq.	V(p15v_pri)/V(inj)
1.19398810446427e+00	(6.87489184743737e+01dB,1.02654851639288e+02°)
1.19674053130724e+00	(6.87302081928023e+01dB,1.02630749696069e+02°)
1.19949930314937e+00	(6.87114953048650e+01dB,1.02606692929046e+02°)
1.20226443461741e+00	(6.86927798198936e+01dB,1.02582681218713e+02°)
1.20503594037179e+00	(6.86740617471404e+01dB,1.02558714445747e+02°)
1.20781383510677e+00	(6.86553410957781e+01dB,1.02534792491015e+02°)
1.21059813355048e+00	(6.86366178749000e+01dB,1.02510915235574e+02°)
1.21338885046497e+00	(6.86178920935206e+01dB,1.02487082560673e+02°)
1.21618600064636e+00	(6.85991637605759e+01dB,1.02463294347755e+02°)
1.21898959892486e+00	(6.85804328849234e+01dB,1.02439550478461e+02°)
1.22179966016487e+00	(6.85616994753427e+01dB,1.02415850834632e+02°)
1.22461619926504e+00	(6.85429635405357e+01dB,1.02392195298307e+02°)
1.22743923115840e+00	(6.85242250891269e+01dB,1.02368583751733e+02°)
1.23026877081238e+00	(6.85054841296638e+01dB,1.02345016077358e+02°)
1.23310483322890e+00	(6.84867406706170e+01dB,1.02321492157842e+02°)
1.23594743344450e+00	(6.84679947203808e+01dB,1.02298011876054e+02°)
1.23879658653036e+00	(6.84492462872732e+01dB,1.02274575115073e+02°)
1.24165230759240e+00	(6.84304953795367e+01dB,1.02251181758195e+02°)
1.24451461177138e+00	(6.84117420053380e+01dB,1.02227831688931e+02°)
1.24738351424294e+00	(6.83929861727689e+01dB,1.02204524791013e+02°)
1.25025903021771e+00	(6.83742278898462e+01dB,1.02181260948390e+02°)
1.25314117494141e+00	(6.83554671645122e+01dB,1.02158040045236e+02°)
1.25602996369487e+00	(6.83367040046351e+01dB,1.02134861965950e+02°)
1.25892541179416e+00	(6.83179384180092e+01dB,1.02111726595157e+02°)
1.26182753459066e+00	(6.82991704123553e+01dB,1.02088633817712e+02°)
1.26473634747114e+00	(6.82803999953211e+01dB,1.02065583518700e+02°)
1.26765186585784e+00	(6.82616271744812e+01dB,1.02042575583438e+02°)
1.27057410520853e+00	(6.82428519573380e+01dB,1.02019609897481e+02°)
1.27350308101665e+00	(6.82240743513215e+01dB,1.01996686346618e+02°)
1.27643880881134e+00	(6.82052943637898e+01dB,1.01973804816879e+02°)
1.27938130415752e+00	(6.81865120020298e+01dB,1.01950965194532e+02°)
1.28233058265601e+00	(6.81677272732571e+01dB,1.01928167366090e+02°)
1.28528665994361e+00	(6.81489401846164e+01dB,1.01905411218311e+02°)
1.28824955169313e+00	(6.81301507431819e+01dB,1.01882696638198e+02°)
1.29121927361353e+00	(6.81113589559578e+01dB,1.01860023513004e+02°)
1.29419584144998e+00	(6.80925648298786e+01dB,1.01837391730230e+02°)
1.29717927098395e+00	(6.80737683718092e+01dB,1.01814801177632e+02°)
1.30016957803328e+00	(6.80549695885455e+01dB,1.01792251743217e+02°)
1.30316677845229e+00	(6.80361684868147e+01dB,1.01769743315251e+02°)
1.30617088813183e+00	(6.80173650732756e+01dB,1.01747275782255e+02°)
