Freq.	V(OUT)/V(COMP)
1.55596563160506e+00	(8.34220170147251e+00dB,-5.12499807670789e-01°)
1.55955250282694e+00	(8.34220009904045e+00dB,-5.13681178518887e-01°)
1.56314764264094e+00	(8.34219848921252e+00dB,-5.14865272269878e-01°)
1.56675107010813e+00	(8.34219687195459e+00dB,-5.16052095197664e-01°)
1.57036280433354e+00	(8.34219524723238e+00dB,-5.17241653590589e-01°)
1.57398286446620e+00	(8.34219361501150e+00dB,-5.18433953751477e-01°)
1.57761126969933e+00	(8.34219197525723e+00dB,-5.19629001997649e-01°)
1.58124803927037e+00	(8.34219032793488e+00dB,-5.20826804660979e-01°)
1.58489319246110e+00	(8.34218867300951e+00dB,-5.22027368087910e-01°)
1.58854674859776e+00	(8.34218701044602e+00dB,-5.23230698639495e-01°)
1.59220872705115e+00	(8.34218534020914e+00dB,-5.24436802691426e-01°)
1.59587914723672e+00	(8.34218366226352e+00dB,-5.25645686634078e-01°)
1.59955802861465e+00	(8.34218197657353e+00dB,-5.26857356872525e-01°)
1.60324539069002e+00	(8.34218028310347e+00dB,-5.28071819826591e-01°)
1.60694125301286e+00	(8.34217858181742e+00dB,-5.29289081930873e-01°)
1.61064563517825e+00	(8.34217687267928e+00dB,-5.30509149634781e-01°)
1.61435855682647e+00	(8.34217515565284e+00dB,-5.31732029402567e-01°)
1.61808003764305e+00	(8.34217343070172e+00dB,-5.32957727713366e-01°)
1.62181009735891e+00	(8.34217169778930e+00dB,-5.34186251061220e-01°)
1.62554875575047e+00	(8.34216995687885e+00dB,-5.35417605955121e-01°)
1.62929603263970e+00	(8.34216820793347e+00dB,-5.36651798919044e-01°)
1.63305194789432e+00	(8.34216645091609e+00dB,-5.37888836491977e-01°)
1.63681652142779e+00	(8.34216468578946e+00dB,-5.39128725227961e-01°)
1.64058977319952e+00	(8.34216291251613e+00dB,-5.40371471696115e-01°)
1.64437172321491e+00	(8.34216113105854e+00dB,-5.41617082480686e-01°)
1.64816239152549e+00	(8.34215934137884e+00dB,-5.42865564181066e-01°)
1.65196179822900e+00	(8.34215754343920e+00dB,-5.44116923411847e-01°)
1.65576996346951e+00	(8.34215573720143e+00dB,-5.45371166802833e-01°)
1.65958690743754e+00	(8.34215392262724e+00dB,-5.46628300999093e-01°)
1.66341265037015e+00	(8.34215209967819e+00dB,-5.47888332660988e-01°)
1.66724721255104e+00	(8.34215026831559e+00dB,-5.49151268464207e-01°)
1.67109061431069e+00	(8.34214842850059e+00dB,-5.50417115099800e-01°)
1.67494287602642e+00	(8.34214658019428e+00dB,-5.51685879274226e-01°)
1.67880401812254e+00	(8.34214472335741e+00dB,-5.52957567709368e-01°)
1.68267406107045e+00	(8.34214285795063e+00dB,-5.54232187142581e-01°)
1.68655302538872e+00	(8.34214098393434e+00dB,-5.55509744326726e-01°)
1.69044093164324e+00	(8.34213910126889e+00dB,-5.56790246030207e-01°)
1.69433780044731e+00	(8.34213720991430e+00dB,-5.58073699037000e-01°)
1.69824365246172e+00	(8.34213530983050e+00dB,-5.59360110146697e-01°)
1.70215850839493e+00	(8.34213340097721e+00dB,-5.60649486174535e-01°)
1.70608238900310e+00	(8.34213148331396e+00dB,-5.61941833951438e-01°)
1.71001531509027e+00	(8.34212955680006e+00dB,-5.63237160324044e-01°)
1.71395730750840e+00	(8.34212762139471e+00dB,-5.64535472154755e-01°)
1.71790838715757e+00	(8.34212567705683e+00dB,-5.65836776321757e-01°)
1.72186857498599e+00	(8.34212372374528e+00dB,-5.67141079719070e-01°)
1.72583789199018e+00	(8.34212176141856e+00dB,-5.68448389256574e-01°)
1.72981635921508e+00	(8.34211979003508e+00dB,-5.69758711860052e-01°)
1.73380399775412e+00	(8.34211780955312e+00dB,-5.71072054471227e-01°)
1.73780082874935e+00	(8.34211581993057e+00dB,-5.72388424047787e-01°)
1.74180687339159e+00	(8.34211382112537e+00dB,-5.73707827563444e-01°)
1.74582215292048e+00	(8.34211181309507e+00dB,-5.75030272007944e-01°)
1.74984668862463e+00	(8.34210979579714e+00dB,-5.76355764387125e-01°)
1.75388050184174e+00	(8.34210776918874e+00dB,-5.77684311722939e-01°)
1.75792361395867e+00	(8.34210573322697e+00dB,-5.79015921053505e-01°)
1.76197604641161e+00	(8.34210368786866e+00dB,-5.80350599433130e-01°)
1.76603782068614e+00	(8.34210163307043e+00dB,-5.81688353932354e-01°)
1.77010895831740e+00	(8.34209956878871e+00dB,-5.83029191637989e-01°)
1.77418948089014e+00	(8.34209749497979e+00dB,-5.84373119653151e-01°)
1.77827941003890e+00	(8.34209541159959e+00dB,-5.85720145097296e-01°)
