Freq.	V(OUT)/V(COMP)
1.51008015416413e+00	(2.55532357070817e+01dB,-1.65534495704941e+01°)
1.51356124843619e+00	(2.55516088357119e+01dB,-1.65895142294647e+01°)
1.51705036745932e+00	(2.55499750684730e+01dB,-1.66256484590253e+01°)
1.52054752973248e+00	(2.55483343787428e+01dB,-1.66618523357797e+01°)
1.52405275379728e+00	(2.55466867398235e+01dB,-1.66981259360449e+01°)
1.52756605823806e+00	(2.55450321249359e+01dB,-1.67344693358365e+01°)
1.53108746168201e+00	(2.55433705072155e+01dB,-1.67708826108585e+01°)
1.53461698279928e+00	(2.55417018597221e+01dB,-1.68073658365193e+01°)
1.53815464030302e+00	(2.55400261554311e+01dB,-1.68439190879121e+01°)
1.54170045294954e+00	(2.55383433672394e+01dB,-1.68805424398229e+01°)
1.54525443953840e+00	(2.55366534679614e+01dB,-1.69172359667199e+01°)
1.54881661891247e+00	(2.55349564303315e+01dB,-1.69539997427568e+01°)
1.55238700995807e+00	(2.55332522270034e+01dB,-1.69908338417664e+01°)
1.55596563160506e+00	(2.55315408305501e+01dB,-1.70277383372596e+01°)
1.55955250282694e+00	(2.55298222134607e+01dB,-1.70647133024150e+01°)
1.56314764264094e+00	(2.55280963481479e+01dB,-1.71017588100914e+01°)
1.56675107010813e+00	(2.55263632069365e+01dB,-1.71388749328014e+01°)
1.57036280433354e+00	(2.55246227620785e+01dB,-1.71760617427393e+01°)
1.57398286446620e+00	(2.55228749857398e+01dB,-1.72133193117508e+01°)
1.57761126969933e+00	(2.55211198500016e+01dB,-1.72506477113333e+01°)
1.58124803927037e+00	(2.55193573268724e+01dB,-1.72880470126565e+01°)
1.58489319246110e+00	(2.55175873882736e+01dB,-1.73255172865306e+01°)
1.58854674859776e+00	(2.55158100060461e+01dB,-1.73630586034172e+01°)
1.59220872705115e+00	(2.55140251519497e+01dB,-1.74006710334237e+01°)
1.59587914723672e+00	(2.55122327976655e+01dB,-1.74383546463064e+01°)
1.59955802861465e+00	(2.55104329147889e+01dB,-1.74761095114518e+01°)
1.60324539069002e+00	(2.55086254748376e+01dB,-1.75139356978914e+01°)
1.60694125301286e+00	(2.55068104492448e+01dB,-1.75518332742832e+01°)
1.61064563517825e+00	(2.55049878093646e+01dB,-1.75898023089203e+01°)
1.61435855682647e+00	(2.55031575264693e+01dB,-1.76278428697225e+01°)
1.61808003764305e+00	(2.55013195717500e+01dB,-1.76659550242333e+01°)
1.62181009735891e+00	(2.54994739163135e+01dB,-1.77041388396114e+01°)
1.62554875575047e+00	(2.54976205311904e+01dB,-1.77423943826439e+01°)
1.62929603263970e+00	(2.54957593873265e+01dB,-1.77807217197248e+01°)
1.63305194789432e+00	(2.54938904555873e+01dB,-1.78191209168614e+01°)
1.63681652142779e+00	(2.54920137067549e+01dB,-1.78575920396647e+01°)
1.64058977319952e+00	(2.54901291115324e+01dB,-1.78961351533556e+01°)
1.64437172321491e+00	(2.54882366405424e+01dB,-1.79347503227574e+01°)
1.64816239152549e+00	(2.54863362643218e+01dB,-1.79734376122826e+01°)
1.65196179822900e+00	(2.54844279533320e+01dB,-1.80121970859506e+01°)
1.65576996346951e+00	(2.54825116779482e+01dB,-1.80510288073620e+01°)
1.65958690743754e+00	(2.54805874084664e+01dB,-1.80899328397095e+01°)
1.66341265037015e+00	(2.54786551151022e+01dB,-1.81289092457729e+01°)
1.66724721255104e+00	(2.54767147679877e+01dB,-1.81679580879082e+01°)
1.67109061431069e+00	(2.54747663371742e+01dB,-1.82070794280501e+01°)
1.67494287602642e+00	(2.54728097926367e+01dB,-1.82462733277193e+01°)
1.67880401812254e+00	(2.54708451042609e+01dB,-1.82855398479891e+01°)
1.68267406107045e+00	(2.54688722418579e+01dB,-1.83248790495159e+01°)
1.68655302538872e+00	(2.54668911751542e+01dB,-1.83642909925120e+01°)
1.69044093164324e+00	(2.54649018737991e+01dB,-1.84037757367600e+01°)
1.69433780044731e+00	(2.54629043073544e+01dB,-1.84433333415851e+01°)
1.69824365246172e+00	(2.54608984453076e+01dB,-1.84829638658821e+01°)
1.70215850839493e+00	(2.54588842570636e+01dB,-1.85226673680923e+01°)
1.70608238900310e+00	(2.54568617119435e+01dB,-1.85624439061980e+01°)
1.71001531509027e+00	(2.54548307791916e+01dB,-1.86022935377344e+01°)
1.71395730750840e+00	(2.54527914279675e+01dB,-1.86422163197683e+01°)
1.71790838715757e+00	(2.54507436273542e+01dB,-1.86822123089124e+01°)
1.72186857498599e+00	(2.54486873463531e+01dB,-1.87222815613105e+01°)
1.72583789199018e+00	(2.54466225538829e+01dB,-1.87624241326321e+01°)
1.72981635921508e+00	(2.54445492187827e+01dB,-1.88026400780744e+01°)
1.73380399775412e+00	(2.54424673098144e+01dB,-1.88429294523651e+01°)
1.73780082874935e+00	(2.54403767956541e+01dB,-1.88832923097392e+01°)
1.74180687339159e+00	(2.54382776449034e+01dB,-1.89237287039602e+01°)
1.74582215292048e+00	(2.54361698260797e+01dB,-1.89642386882949e+01°)
1.74984668862463e+00	(2.54340533076225e+01dB,-1.90048223155239e+01°)
1.75388050184174e+00	(2.54319280578895e+01dB,-1.90454796379286e+01°)
1.75792361395867e+00	(2.54297940451616e+01dB,-1.90862107072999e+01°)
1.76197604641161e+00	(2.54276512376355e+01dB,-1.91270155749157e+01°)
1.76603782068614e+00	(2.54254996034334e+01dB,-1.91678942915608e+01°)
1.77010895831740e+00	(2.54233391105934e+01dB,-1.92088469075007e+01°)
1.77418948089014e+00	(2.54211697270776e+01dB,-1.92498734724963e+01°)
1.77827941003890e+00	(2.54189914207661e+01dB,-1.92909740357854e+01°)
1.78237876744807e+00	(2.54168041594630e+01dB,-1.93321486460942e+01°)
1.78648757485203e+00	(2.54146079108880e+01dB,-1.93733973516130e+01°)
1.79060585403527e+00	(2.54124026426881e+01dB,-1.94147202000196e+01°)
1.79473362683250e+00	(2.54101883224263e+01dB,-1.94561172384488e+01°)
1.79887091512876e+00	(2.54079649175892e+01dB,-1.94975885135065e+01°)
1.80301774085954e+00	(2.54057323955852e+01dB,-1.95391340712623e+01°)
1.80717412601090e+00	(2.54034907237430e+01dB,-1.95807539572404e+01°)
1.81134009261958e+00	(2.54012398693116e+01dB,-1.96224482164165e+01°)
1.81551566277311e+00	(2.53989797994664e+01dB,-1.96642168932282e+01°)
1.81970085860996e+00	(2.53967104813003e+01dB,-1.97060600315500e+01°)
1.82389570231961e+00	(2.53944318818301e+01dB,-1.97479776747040e+01°)
1.82810021614272e+00	(2.53921439679937e+01dB,-1.97899698654495e+01°)
1.83231442237119e+00	(2.53898467066520e+01dB,-1.98320366459833e+01°)
1.83653834334832e+00	(2.53875400645897e+01dB,-1.98741780579377e+01°)
1.84077200146893e+00	(2.53852240085109e+01dB,-1.99163941423655e+01°)
1.84501541917945e+00	(2.53828985050461e+01dB,-1.99586849397531e+01°)
1.84926861897805e+00	(2.53805635207458e+01dB,-2.00010504900010e+01°)
1.85353162341478e+00	(2.53782190220838e+01dB,-2.00434908324267e+01°)
1.85780445509167e+00	(2.53758649754622e+01dB,-2.00860060057740e+01°)
1.86208713666284e+00	(2.53735013472000e+01dB,-2.01285960481797e+01°)
1.86637969083464e+00	(2.53711281035413e+01dB,-2.01712609971907e+01°)
1.87068214036577e+00	(2.53687452106565e+01dB,-2.02140008897619e+01°)
1.87499450806739e+00	(2.53663526346401e+01dB,-2.02568157622461e+01°)
1.87931681680324e+00	(2.53639503415061e+01dB,-2.02997056503800e+01°)
1.88364908948977e+00	(2.53615382971996e+01dB,-2.03426705893071e+01°)
1.88799134909627e+00	(2.53591164675845e+01dB,-2.03857106135436e+01°)
1.89234361864495e+00	(2.53566848184520e+01dB,-2.04288257569949e+01°)
1.89670592121112e+00	(2.53542433155186e+01dB,-2.04720160529464e+01°)
1.90107827992327e+00	(2.53517919244249e+01dB,-2.05152815340565e+01°)
1.90546071796322e+00	(2.53493306107384e+01dB,-2.05586222323587e+01°)
1.90985325856621e+00	(2.53468593399501e+01dB,-2.06020381792488e+01°)
1.91425592502106e+00	(2.53443780774784e+01dB,-2.06455294054906e+01°)
1.91866874067026e+00	(2.53418867886645e+01dB,-2.06890959412004e+01°)
1.92309172891013e+00	(2.53393854387841e+01dB,-2.07327378158697e+01°)
1.92752491319091e+00	(2.53368739930305e+01dB,-2.07764550583216e+01°)
1.93196831701689e+00	(2.53343524165254e+01dB,-2.08202476967312e+01°)
1.93642196394658e+00	(2.53318206743219e+01dB,-2.08641157586291e+01°)
1.94088587759275e+00	(2.53292787313978e+01dB,-2.09080592708803e+01°)
1.94536008162263e+00	(2.53267265526546e+01dB,-2.09520782596778e+01°)
1.94984459975802e+00	(2.53241641029281e+01dB,-2.09961727505632e+01°)
1.95433945577536e+00	(2.53215913469769e+01dB,-2.10403427683951e+01°)
1.95884467350596e+00	(2.53190082494905e+01dB,-2.10845883373628e+01°)
1.96336027683602e+00	(2.53164147750866e+01dB,-2.11289094809774e+01°)
1.96788628970681e+00	(2.53138108883102e+01dB,-2.11733062220631e+01°)
1.97242273611482e+00	(2.53111965536359e+01dB,-2.12177785827587e+01°)
1.97696964011183e+00	(2.53085717354682e+01dB,-2.12623265845153e+01°)
