Freq.	V(out)/V(inj)
1.31825673855640e+00	(1.19270712033858e+02dB,1.68213945127130e+01°)
1.32129563418657e+00	(1.19232760561417e+02dB,1.67608645799773e+01°)
1.32434153519466e+00	(1.19194793655376e+02dB,1.67003905228547e+01°)
1.32739445772973e+00	(1.19156811338520e+02dB,1.66399723381944e+01°)
1.33045441797808e+00	(1.19118813633513e+02dB,1.65796100223195e+01°)
1.33352143216332e+00	(1.19080800562933e+02dB,1.65193035710681e+01°)
1.33659551654643e+00	(1.19042772149233e+02dB,1.64590529797557e+01°)
1.33967668742593e+00	(1.19004728414775e+02dB,1.63988582432325e+01°)
1.34276496113785e+00	(1.18966669381806e+02dB,1.63387193558720e+01°)
1.34586035405594e+00	(1.18928595072472e+02dB,1.62786363115213e+01°)
1.34896288259164e+00	(1.18890505508810e+02dB,1.62186091036180e+01°)
1.35207256319427e+00	(1.18852400712751e+02dB,1.61586377250757e+01°)
1.35518941235103e+00	(1.18814280706114e+02dB,1.60987221683991e+01°)
1.35831344658714e+00	(1.18776145510612e+02dB,1.60388624256032e+01°)
1.36144468246594e+00	(1.18737995147855e+02dB,1.59790584882654e+01°)
1.36458313658891e+00	(1.18699829639336e+02dB,1.59193103475154e+01°)
1.36772882559584e+00	(1.18661649006445e+02dB,1.58596179940665e+01°)
1.37088176616484e+00	(1.18623453270461e+02dB,1.57999814181884e+01°)
1.37404197501251e+00	(1.18585242452550e+02dB,1.57404006097289e+01°)
1.37720946889394e+00	(1.18547016573773e+02dB,1.56808755581175e+01°)
1.38038426460287e+00	(1.18508775655075e+02dB,1.56214062523667e+01°)
1.38356637897177e+00	(1.18470519717297e+02dB,1.55619926811025e+01°)
1.38675582887188e+00	(1.18432248781163e+02dB,1.55026348325328e+01°)
1.38995263121334e+00	(1.18393962867291e+02dB,1.54433326944863e+01°)
1.39315680294529e+00	(1.18355661996181e+02dB,1.53840862544052e+01°)
1.39636836105593e+00	(1.18317346188226e+02dB,1.53248954993362e+01°)
1.39958732257261e+00	(1.18279015463705e+02dB,1.52657604159615e+01°)
1.40281370456195e+00	(1.18240669842786e+02dB,1.52066809906113e+01°)
1.40604752412990e+00	(1.18202309345523e+02dB,1.51476572092315e+01°)
1.40928879842186e+00	(1.18163933991857e+02dB,1.50886890574139e+01°)
1.41253754462274e+00	(1.18125543801615e+02dB,1.50297765204221e+01°)
1.41579377995707e+00	(1.18087138794510e+02dB,1.49709195831601e+01°)
1.41905752168908e+00	(1.18048718990148e+02dB,1.49121182301883e+01°)
1.42232878712281e+00	(1.18010284408007e+02dB,1.48533724457618e+01°)
1.42560759360218e+00	(1.17971835067465e+02dB,1.47946822137892e+01°)
