Freq.	Ix(x4:e)/Ix(x4:a)
1.28233058265601e+00	(6.62769432681662e+00dB,-1.79985717951960e+02°)
1.28528665994361e+00	(6.62769464859577e+00dB,-1.79985762293230e+02°)
1.28824955169313e+00	(6.62769496889962e+00dB,-1.79985806559550e+02°)
1.29121927361353e+00	(6.62769528773493e+00dB,-1.79985850751148e+02°)
1.29419584144998e+00	(6.62769560510843e+00dB,-1.79985894868258e+02°)
1.29717927098395e+00	(6.62769592102681e+00dB,-1.79985938911107e+02°)
1.30016957803328e+00	(6.62769623549676e+00dB,-1.79985982879927e+02°)
1.30316677845229e+00	(6.62769654852490e+00dB,-1.79986026774948e+02°)
1.30617088813183e+00	(6.62769686011785e+00dB,-1.79986070596397e+02°)
1.30918192299940e+00	(6.62769717028220e+00dB,-1.79986114344504e+02°)
1.31219989901919e+00	(6.62769747902447e+00dB,-1.79986158019498e+02°)
1.31522483219223e+00	(6.62769778635120e+00dB,-1.79986201621607e+02°)
1.31825673855640e+00	(6.62769809226888e+00dB,-1.79986245151057e+02°)
1.32129563418657e+00	(6.62769839678396e+00dB,-1.79986288608077e+02°)
1.32434153519466e+00	(6.62769869990288e+00dB,-1.79986331992894e+02°)
1.32739445772973e+00	(6.62769900163204e+00dB,-1.79986375305734e+02°)
1.33045441797808e+00	(6.62769930197780e+00dB,-1.79986418546824e+02°)
1.33352143216332e+00	(6.62769960094651e+00dB,-1.79986461716389e+02°)
1.33659551654643e+00	(6.62769989854449e+00dB,-1.79986504814655e+02°)
1.33967668742593e+00	(6.62770019477801e+00dB,-1.79986547841847e+02°)
1.34276496113785e+00	(6.62770048965334e+00dB,-1.79986590798191e+02°)
1.34586035405594e+00	(6.62770078317671e+00dB,-1.79986633683910e+02°)
1.34896288259164e+00	(6.62770107535430e+00dB,-1.79986676499229e+02°)
1.35207256319427e+00	(6.62770136619230e+00dB,-1.79986719244371e+02°)
1.35518941235103e+00	(6.62770165569684e+00dB,-1.79986761919560e+02°)
1.35831344658714e+00	(6.62770194387405e+00dB,-1.79986804525020e+02°)
1.36144468246594e+00	(6.62770223073000e+00dB,-1.79986847060972e+02°)
1.36458313658891e+00	(6.62770251627076e+00dB,-1.79986889527639e+02°)
1.36772882559584e+00	(6.62770280050236e+00dB,-1.79986931925244e+02°)
1.37088176616484e+00	(6.62770308343079e+00dB,-1.79986974254008e+02°)
1.37404197501251e+00	(6.62770336506205e+00dB,-1.79987016514152e+02°)
1.37720946889394e+00	(6.62770364540206e+00dB,-1.79987058705898e+02°)
1.38038426460287e+00	(6.62770392445677e+00dB,-1.79987100829466e+02°)
1.38356637897177e+00	(6.62770420223206e+00dB,-1.79987142885076e+02°)
1.38675582887188e+00	(6.62770447873381e+00dB,-1.79987184872949e+02°)
1.38995263121334e+00	(6.62770475396784e+00dB,-1.79987226793304e+02°)
1.39315680294529e+00	(6.62770502793998e+00dB,-1.79987268646360e+02°)
1.39636836105593e+00	(6.62770530065601e+00dB,-1.79987310432337e+02°)
1.39958732257261e+00	(6.62770557212170e+00dB,-1.79987352151453e+02°)
