Freq.	V(COMP)/V(OPTO_OUT)
1.46217717445671e+00	(4.67733840648595e+01dB,9.19257270343833e+01°)
1.46554784095590e+00	(4.67534000139247e+01dB,9.19285649192529e+01°)
1.46892627764385e+00	(4.67334160298020e+01dB,9.19314130119495e+01°)
1.47231250243271e+00	(4.67134321128267e+01dB,9.19342713274612e+01°)
1.47570653327588e+00	(4.66934482633408e+01dB,9.19371398808184e+01°)
1.47910838816819e+00	(4.66734644816871e+01dB,9.19400186871071e+01°)
1.48251808514594e+00	(4.66534807682071e+01dB,9.19429077614794e+01°)
1.48593564228699e+00	(4.66334971232464e+01dB,9.19458071191329e+01°)
1.48936107771090e+00	(4.66135135471504e+01dB,9.19487167753109e+01°)
1.49279440957898e+00	(4.65935300402656e+01dB,9.19516367453251e+01°)
1.49623565609442e+00	(4.65735466029431e+01dB,9.19545670445323e+01°)
1.49968483550236e+00	(4.65535632355320e+01dB,9.19575076883410e+01°)
1.50314196609001e+00	(4.65335799383860e+01dB,9.19604586922231e+01°)
1.50660706618673e+00	(4.65135967118557e+01dB,9.19634200716971e+01°)
1.51008015416413e+00	(4.64936135562989e+01dB,9.19663918423380e+01°)
1.51356124843619e+00	(4.64736304720698e+01dB,9.19693740197725e+01°)
1.51705036745932e+00	(4.64536474595283e+01dB,9.19723666196917e+01°)
1.52054752973248e+00	(4.64336645190308e+01dB,9.19753696578214e+01°)
1.52405275379728e+00	(4.64136816509408e+01dB,9.19783831499581e+01°)
1.52756605823806e+00	(4.63936988556211e+01dB,9.19814071119505e+01°)
1.53108746168201e+00	(4.63737161334335e+01dB,9.19844415597025e+01°)
1.53461698279928e+00	(4.63537334847443e+01dB,9.19874865091628e+01°)
1.53815464030302e+00	(4.63337509099222e+01dB,9.19905419763458e+01°)
1.54170045294954e+00	(4.63137684093338e+01dB,9.19936079773154e+01°)
1.54525443953840e+00	(4.62937859833506e+01dB,9.19966845281900e+01°)
1.54881661891247e+00	(4.62738036323435e+01dB,9.19997716451521e+01°)
1.55238700995807e+00	(4.62538213566865e+01dB,9.20028693444274e+01°)
1.55596563160506e+00	(4.62338391567549e+01dB,9.20059776422954e+01°)
1.55955250282694e+00	(4.62138570329239e+01dB,9.20090965551045e+01°)
1.56314764264094e+00	(4.61938749855740e+01dB,9.20122260992458e+01°)
1.56675107010813e+00	(4.61738930150823e+01dB,9.20153662911774e+01°)
1.57036280433354e+00	(4.61539111218303e+01dB,9.20185171473978e+01°)
1.57398286446620e+00	(4.61339293062041e+01dB,9.20216786844799e+01°)
1.57761126969933e+00	(4.61139475685857e+01dB,9.20248509190241e+01°)
1.58124803927037e+00	(4.60939659093623e+01dB,9.20280338677214e+01°)
1.58489319246110e+00	(4.60739843289216e+01dB,9.20312275472955e+01°)
1.58854674859776e+00	(4.60540028276529e+01dB,9.20344319745260e+01°)
1.59220872705115e+00	(4.60340214059486e+01dB,9.20376471662638e+01°)
1.59587914723672e+00	(4.60140400642002e+01dB,9.20408731393990e+01°)
1.59955802861465e+00	(4.59940588028036e+01dB,9.20441099108870e+01°)
1.60324539069002e+00	(4.59740776221547e+01dB,9.20473574977348e+01°)
1.60694125301286e+00	(4.59540965226518e+01dB,9.20506159170167e+01°)
1.61064563517825e+00	(4.59341155046936e+01dB,9.20538851858455e+01°)
1.61435855682647e+00	(4.59141345686829e+01dB,9.20571653214040e+01°)
1.61808003764305e+00	(4.58941537150230e+01dB,9.20604563409265e+01°)
1.62181009735891e+00	(4.58741729441170e+01dB,9.20637582617047e+01°)
1.62554875575047e+00	(4.58541922563734e+01dB,9.20670711010883e+01°)
1.62929603263970e+00	(4.58342116521995e+01dB,9.20703948764789e+01°)
1.63305194789432e+00	(4.58142311320081e+01dB,9.20737296053486e+01°)
1.63681652142779e+00	(4.57942506962079e+01dB,9.20770753052035e+01°)
1.64058977319952e+00	(4.57742703452133e+01dB,9.20804319936283e+01°)
1.64437172321491e+00	(4.57542900794422e+01dB,9.20837996882550e+01°)
1.64816239152549e+00	(4.57343098993090e+01dB,9.20871784067685e+01°)
1.65196179822900e+00	(4.57143298052344e+01dB,9.20905681669293e+01°)
1.65576996346951e+00	(4.56943497976399e+01dB,9.20939689865242e+01°)
1.65958690743754e+00	(4.56743698769470e+01dB,9.20973808834299e+01°)
1.66341265037015e+00	(4.56543900435806e+01dB,9.21008038755677e+01°)
1.66724721255104e+00	(4.56344102979677e+01dB,9.21042379808995e+01°)
1.67109061431069e+00	(4.56144306405353e+01dB,9.21076832174774e+01°)
1.67494287602642e+00	(4.55944510717165e+01dB,9.21111396033918e+01°)
1.67880401812254e+00	(4.55744715919404e+01dB,9.21146071567890e+01°)
1.68267406107045e+00	(4.55544922016420e+01dB,9.21180858958755e+01°)
1.68655302538872e+00	(4.55345129012568e+01dB,9.21215758389335e+01°)
1.69044093164324e+00	(4.55145336912228e+01dB,9.21250770042679e+01°)
1.69433780044731e+00	(4.54945545719793e+01dB,9.21285894102820e+01°)
1.69824365246172e+00	(4.54745755439688e+01dB,9.21321130754055e+01°)
1.70215850839493e+00	(4.54545966076336e+01dB,9.21356480181427e+01°)
1.70608238900310e+00	(4.54346177634196e+01dB,9.21391942570504e+01°)
1.71001531509027e+00	(4.54146390117737e+01dB,9.21427518107510e+01°)
1.71395730750840e+00	(4.53946603531463e+01dB,9.21463206979170e+01°)
1.71790838715757e+00	(4.53746817879872e+01dB,9.21499009372858e+01°)
1.72186857498599e+00	(4.53547033167491e+01dB,9.21534925476527e+01°)
1.72583789199018e+00	(4.53347249398894e+01dB,9.21570955478680e+01°)
1.72981635921508e+00	(4.53147466578641e+01dB,9.21607099568382e+01°)
1.73380399775412e+00	(4.52947684711324e+01dB,9.21643357935491e+01°)
1.73780082874935e+00	(4.52747903801555e+01dB,9.21679730770182e+01°)
1.74180687339159e+00	(4.52548123853959e+01dB,9.21716218263395e+01°)
1.74582215292048e+00	(4.52348344873197e+01dB,9.21752820606656e+01°)
1.74984668862463e+00	(4.52148566863939e+01dB,9.21789537992064e+01°)
1.75388050184174e+00	(4.51948789830880e+01dB,9.21826370612201e+01°)
1.75792361395867e+00	(4.51749013778724e+01dB,9.21863318660458e+01°)
1.76197604641161e+00	(4.51549238712222e+01dB,9.21900382330646e+01°)
1.76603782068614e+00	(4.51349464636115e+01dB,9.21937561817330e+01°)
1.77010895831740e+00	(4.51149691555180e+01dB,9.21974857315442e+01°)
1.77418948089014e+00	(4.50949919474218e+01dB,9.22012269020788e+01°)
1.77827941003890e+00	(4.50750148398046e+01dB,9.22049797129625e+01°)
1.78237876744807e+00	(4.50550378331504e+01dB,9.22087441838837e+01°)
1.78648757485203e+00	(4.50350609279452e+01dB,9.22125203345860e+01°)
1.79060585403527e+00	(4.50150841246768e+01dB,9.22163081848842e+01°)
1.79473362683250e+00	(4.49951074238355e+01dB,9.22201077546447e+01°)
1.79887091512876e+00	(4.49751308259146e+01dB,9.22239190638034e+01°)
1.80301774085954e+00	(4.49551543314078e+01dB,9.22277421323446e+01°)
1.80717412601090e+00	(4.49351779408119e+01dB,9.22315769803195e+01°)
1.81134009261958e+00	(4.49152016546264e+01dB,9.22354236278520e+01°)
1.81551566277311e+00	(4.48952254733530e+01dB,9.22392820951083e+01°)
1.81970085860996e+00	(4.48752493974938e+01dB,9.22431524023253e+01°)
1.82389570231961e+00	(4.48552734275560e+01dB,9.22470345697942e+01°)
1.82810021614272e+00	(4.48352975640457e+01dB,9.22509286178786e+01°)
1.83231442237119e+00	(4.48153218074742e+01dB,9.22548345669939e+01°)
1.83653834334832e+00	(4.47953461583529e+01dB,9.22587524376260e+01°)
1.84077200146893e+00	(4.47753706171968e+01dB,9.22626822503148e+01°)
1.84501541917945e+00	(4.47553951845240e+01dB,9.22666240256580e+01°)
1.84926861897805e+00	(4.47354198608528e+01dB,9.22705777843304e+01°)
1.85353162341478e+00	(4.47154446467037e+01dB,9.22745435470583e+01°)
1.85780445509167e+00	(4.46954695426008e+01dB,9.22785213346279e+01°)
1.86208713666284e+00	(4.46754945490721e+01dB,9.22825111678907e+01°)
1.86637969083464e+00	(4.46555196666436e+01dB,9.22865130677661e+01°)
1.87068214036577e+00	(4.46355448958471e+01dB,9.22905270552232e+01°)
1.87499450806739e+00	(4.46155702372159e+01dB,9.22945531513076e+01°)
1.87931681680324e+00	(4.45955956912846e+01dB,9.22985913771164e+01°)
1.88364908948977e+00	(4.45756212585922e+01dB,9.23026417538156e+01°)
1.88799134909627e+00	(4.45556469396784e+01dB,9.23067043026326e+01°)
1.89234361864495e+00	(4.45356727350859e+01dB,9.23107790448498e+01°)
1.89670592121112e+00	(4.45156986453588e+01dB,9.23148660018281e+01°)
1.90107827992327e+00	(4.44957246710458e+01dB,9.23189651949815e+01°)
1.90546071796322e+00	(4.44757508126956e+01dB,9.23230766457818e+01°)
1.90985325856621e+00	(4.44557770708617e+01dB,9.23272003757776e+01°)
1.91425592502106e+00	(4.44358034460988e+01dB,9.23313364065732e+01°)
1.91866874067026e+00	(4.44158299389626e+01dB,9.23354847598330e+01°)
1.92309172891013e+00	(4.43958565500144e+01dB,9.23396454572929e+01°)
1.92752491319091e+00	(4.43758832798154e+01dB,9.23438185207470e+01°)
1.93196831701689e+00	(4.43559101289311e+01dB,9.23480039720562e+01°)
1.93642196394658e+00	(4.43359370979279e+01dB,9.23522018331410e+01°)
1.94088587759275e+00	(4.43159641873761e+01dB,9.23564121259927e+01°)
1.94536008162263e+00	(4.42959913978476e+01dB,9.23606348726520e+01°)
1.94984459975802e+00	(4.42760187299173e+01dB,9.23648700952475e+01°)
1.95433945577536e+00	(4.42560461841619e+01dB,9.23691178159509e+01°)
1.95884467350596e+00	(4.42360737611630e+01dB,9.23733780570082e+01°)
1.96336027683602e+00	(4.42161014615019e+01dB,9.23776508407272e+01°)
1.96788628970681e+00	(4.41961292857630e+01dB,9.23819361894820e+01°)
1.97242273611482e+00	(4.41761572345350e+01dB,9.23862341257066e+01°)
1.97696964011183e+00	(4.41561853084093e+01dB,9.23905446719090e+01°)
1.98152702580507e+00	(4.41362135079764e+01dB,9.23948678506501e+01°)
1.98609491735734e+00	(4.41162418338331e+01dB,9.23992036845679e+01°)
1.99067333898715e+00	(4.40962702865780e+01dB,9.24035521963567e+01°)
1.99526231496885e+00	(4.40762988668119e+01dB,9.24079134087813e+01°)
1.99986186963271e+00	(4.40563275751377e+01dB,9.24122873446661e+01°)
2.00447202736513e+00	(4.40363564121621e+01dB,9.24166740269015e+01°)
2.00909281260870e+00	(4.40163853784939e+01dB,9.24210734784594e+01°)
2.01372424986236e+00	(4.39964144747458e+01dB,9.24254857223507e+01°)
2.01836636368153e+00	(4.39764437015302e+01dB,9.24299107816667e+01°)
2.02301917867824e+00	(4.39564730594665e+01dB,9.24343486795708e+01°)
2.02768271952125e+00	(4.39365025491735e+01dB,9.24387994392823e+01°)
2.03235701093619e+00	(4.39165321712740e+01dB,9.24432630840865e+01°)
2.03704207770568e+00	(4.38965619263939e+01dB,9.24477396373353e+01°)
