Freq.	V(COMP)/V(OPTO_OUT)
1.87068214036577e+00	(4.46275544574283e+01dB,9.33078464862589e+01°)
1.87499450806739e+00	(4.46075894459222e+01dB,9.33095337739283e+01°)
1.87931681680324e+00	(4.45876245028195e+01dB,9.33112385635814e+01°)
1.88364908948977e+00	(4.45676596288613e+01dB,9.33129608640727e+01°)
1.88799134909627e+00	(4.45476948247901e+01dB,9.33147006843477e+01°)
1.89234361864495e+00	(4.45277300913501e+01dB,9.33164580334423e+01°)
1.89670592121112e+00	(4.45077654292868e+01dB,9.33182329204834e+01°)
1.90107827992327e+00	(4.44878008393473e+01dB,9.33200253546886e+01°)
1.90546071796322e+00	(4.44678363222802e+01dB,9.33218353453666e+01°)
1.90985325856621e+00	(4.44478718788355e+01dB,9.33236629019167e+01°)
1.91425592502106e+00	(4.44279075097650e+01dB,9.33255080338292e+01°)
1.91866874067026e+00	(4.44079432158218e+01dB,9.33273707506855e+01°)
1.92309172891013e+00	(4.43879789977607e+01dB,9.33292510621580e+01°)
1.92752491319091e+00	(4.43680148563381e+01dB,9.33311489780100e+01°)
1.93196831701689e+00	(4.43480507923120e+01dB,9.33330645080961e+01°)
1.93642196394658e+00	(4.43280868064420e+01dB,9.33349976623619e+01°)
1.94088587759275e+00	(4.43081228994893e+01dB,9.33369484508443e+01°)
1.94536008162263e+00	(4.42881590722169e+01dB,9.33389168836714e+01°)
1.94984459975802e+00	(4.42681953253893e+01dB,9.33409029710625e+01°)
1.95433945577536e+00	(4.42482316597728e+01dB,9.33429067233284e+01°)
1.95884467350596e+00	(4.42282680761353e+01dB,9.33449281508710e+01°)
1.96336027683602e+00	(4.42083045752465e+01dB,9.33469672641838e+01°)
1.96788628970681e+00	(4.41883411578780e+01dB,9.33490240738517e+01°)
1.97242273611482e+00	(4.41683778248027e+01dB,9.33510985905511e+01°)
1.97696964011183e+00	(4.41484145767958e+01dB,9.33531908250500e+01°)
1.98152702580507e+00	(4.41284514146338e+01dB,9.33553007882078e+01°)
1.98609491735734e+00	(4.41084883390954e+01dB,9.33574284909758e+01°)
1.99067333898715e+00	(4.40885253509608e+01dB,9.33595739443968e+01°)
1.99526231496885e+00	(4.40685624510123e+01dB,9.33617371596055e+01°)
1.99986186963271e+00	(4.40485996400339e+01dB,9.33639181478280e+01°)
2.00447202736513e+00	(4.40286369188115e+01dB,9.33661169203828e+01°)
2.00909281260870e+00	(4.40086742881328e+01dB,9.33683334886798e+01°)
2.01372424986236e+00	(4.39887117487875e+01dB,9.33705678642210e+01°)
2.01836636368153e+00	(4.39687493015672e+01dB,9.33728200586004e+01°)
2.02301917867824e+00	(4.39487869472655e+01dB,9.33750900835039e+01°)
2.02768271952125e+00	(4.39288246866777e+01dB,9.33773779507097e+01°)
2.03235701093619e+00	(4.39088625206014e+01dB,9.33796836720880e+01°)
2.03704207770568e+00	(4.38889004498360e+01dB,9.33820072596010e+01°)
2.04173794466950e+00	(4.38689384751828e+01dB,9.33843487253033e+01°)
2.04644463672464e+00	(4.38489765974453e+01dB,9.33867080813419e+01°)
2.05116217882553e+00	(4.38290148174289e+01dB,9.33890853399560e+01°)
2.05589059598411e+00	(4.38090531359412e+01dB,9.33914805134769e+01°)
2.06062991326997e+00	(4.37890915537918e+01dB,9.33938936143289e+01°)
2.06538015581049e+00	(4.37691300717922e+01dB,9.33963246550283e+01°)
2.07014134879101e+00	(4.37491686907563e+01dB,9.33987736481842e+01°)
2.07491351745487e+00	(4.37292074115000e+01dB,9.34012406064982e+01°)
2.07969668710366e+00	(4.37092462348411e+01dB,9.34037255427645e+01°)
2.08449088309725e+00	(4.36892851616000e+01dB,9.34062284698702e+01°)
2.08929613085400e+00	(4.36693241925989e+01dB,9.34087494007949e+01°)
2.09411245585086e+00	(4.36493633286622e+01dB,9.34112883486111e+01°)
2.09893988362349e+00	(4.36294025706169e+01dB,9.34138453264843e+01°)
2.10377843976644e+00	(4.36094419192917e+01dB,9.34164203476728e+01°)
2.10862814993325e+00	(4.35894813755178e+01dB,9.34190134255278e+01°)
2.11348903983661e+00	(4.35695209401288e+01dB,9.34216245734937e+01°)
2.11836113524847e+00	(4.35495606139601e+01dB,9.34242538051079e+01°)
2.12324446200018e+00	(4.35296003978500e+01dB,9.34269011340010e+01°)
2.12813904598267e+00	(4.35096402926385e+01dB,9.34295665738967e+01°)
2.13304491314654e+00	(4.34896802991684e+01dB,9.34322501386120e+01°)
2.13796208950219e+00	(4.34697204182845e+01dB,9.34349518420574e+01°)
2.14289060112002e+00	(4.34497606508343e+01dB,9.34376716982365e+01°)
2.14783047413050e+00	(4.34298009976674e+01dB,9.34404097212466e+01°)
2.15278173472433e+00	(4.34098414596359e+01dB,9.34431659252783e+01°)
2.15774440915263e+00	(4.33898820375942e+01dB,9.34459403246158e+01°)
2.16271852372698e+00	(4.33699227323994e+01dB,9.34487329336371e+01°)
2.16770410481966e+00	(4.33499635449107e+01dB,9.34515437668136e+01°)
2.17270117886371e+00	(4.33300044759901e+01dB,9.34543728387106e+01°)
2.17770977235312e+00	(4.33100455265018e+01dB,9.34572201639873e+01°)
2.18272991184296e+00	(4.32900866973126e+01dB,9.34600857573965e+01°)
2.18776162394951e+00	(4.32701279892920e+01dB,9.34629696337851e+01°)
2.19280493535041e+00	(4.32501694033118e+01dB,9.34658718080941e+01°)
2.19785987278478e+00	(4.32302109402464e+01dB,9.34687922953582e+01°)
2.20292646305342e+00	(4.32102526009729e+01dB,9.34717311107065e+01°)
2.20800473301886e+00	(4.31902943863708e+01dB,9.34746882693623e+01°)
2.21309470960560e+00	(4.31703362973224e+01dB,9.34776637866430e+01°)
2.21819641980018e+00	(4.31503783347126e+01dB,9.34806576779602e+01°)
2.22330989065136e+00	(4.31304204994287e+01dB,9.34836699588203e+01°)
2.22843514927026e+00	(4.31104627923611e+01dB,9.34867006448236e+01°)
2.23357222283049e+00	(4.30905052144024e+01dB,9.34897497516653e+01°)
2.23872113856830e+00	(4.30705477664484e+01dB,9.34928172951349e+01°)
2.24388192378272e+00	(4.30505904493971e+01dB,9.34959032911168e+01°)
2.24905460583574e+00	(4.30306332641498e+01dB,9.34990077555899e+01°)
2.25423921215239e+00	(4.30106762116100e+01dB,9.35021307046278e+01°)
2.25943577022093e+00	(4.29907192926845e+01dB,9.35052721543992e+01°)
2.26464430759302e+00	(4.29707625082824e+01dB,9.35084321211675e+01°)
2.26986485188378e+00	(4.29508058593161e+01dB,9.35116106212912e+01°)
2.27509743077203e+00	(4.29308493467004e+01dB,9.35148076712235e+01°)
2.28034207200037e+00	(4.29108929713533e+01dB,9.35180232875132e+01°)
2.28559880337539e+00	(4.28909367341954e+01dB,9.35212574868039e+01°)
2.29086765276773e+00	(4.28709806361504e+01dB,9.35245102858346e+01°)
2.29614864811232e+00	(4.28510246781448e+01dB,9.35277817014396e+01°)
2.30144181740846e+00	(4.28310688611081e+01dB,9.35310717505484e+01°)
2.30674718872002e+00	(4.28111131859726e+01dB,9.35343804501864e+01°)
2.31206479017555e+00	(4.27911576536738e+01dB,9.35377078174739e+01°)
2.31739464996843e+00	(4.27712022651501e+01dB,9.35410538696274e+01°)
