Freq.	V(out)/V(inj)
1.38356637897177e+00	(1.05520895541460e+02dB,3.47979139123301e+01°)
1.38675582887188e+00	(1.05484873234851e+02dB,3.47626096969421e+01°)
1.38995263121334e+00	(1.05448839051847e+02dB,3.47274298317613e+01°)
1.39315680294529e+00	(1.05412793040372e+02dB,3.46923744309411e+01°)
1.39636836105593e+00	(1.05376735248344e+02dB,3.46574436078097e+01°)
1.39958732257261e+00	(1.05340665723677e+02dB,3.46226374748697e+01°)
1.40281370456195e+00	(1.05304584514283e+02dB,3.45879561438016e+01°)
1.40604752412990e+00	(1.05268491668067e+02dB,3.45533997254724e+01°)
1.40928879842186e+00	(1.05232387232929e+02dB,3.45189683299324e+01°)
1.41253754462274e+00	(1.05196271256766e+02dB,3.44846620664218e+01°)
1.41579377995707e+00	(1.05160143787464e+02dB,3.44504810433715e+01°)
1.41905752168908e+00	(1.05124004872906e+02dB,3.44164253684096e+01°)
1.42232878712281e+00	(1.05087854560966e+02dB,3.43824951483643e+01°)
1.42560759360218e+00	(1.05051692899511e+02dB,3.43486904892633e+01°)
1.42889395851109e+00	(1.05015519936401e+02dB,3.43150114963469e+01°)
1.43218789927353e+00	(1.04979335719485e+02dB,3.42814582740568e+01°)
1.43548943335364e+00	(1.04943140296604e+02dB,3.42480309260529e+01°)
1.43879857825583e+00	(1.04906933715591e+02dB,3.42147295552073e+01°)
1.44211535152486e+00	(1.04870716024266e+02dB,3.41815542636146e+01°)
1.44543977074592e+00	(1.04834487270442e+02dB,3.41485051525929e+01°)
1.44877185354475e+00	(1.04798247501920e+02dB,3.41155823226824e+01°)
1.45211161758773e+00	(1.04761996766488e+02dB,3.40827858736608e+01°)
1.45545908058195e+00	(1.04725735111926e+02dB,3.40501159045308e+01°)
1.45881426027534e+00	(1.04689462585998e+02dB,3.40175725135364e+01°)
1.46217717445671e+00	(1.04653179236458e+02dB,3.39851557981616e+01°)
1.46554784095590e+00	(1.04616885111048e+02dB,3.39528658551349e+01°)
1.46892627764385e+00	(1.04580580257495e+02dB,3.39207027804283e+01°)
1.47231250243271e+00	(1.04544264723512e+02dB,3.38886666692699e+01°)
1.47570653327588e+00	(1.04507938556801e+02dB,3.38567576161365e+01°)
1.47910838816819e+00	(1.04471601805046e+02dB,3.38249757147673e+01°)
1.48251808514594e+00	(1.04435254515918e+02dB,3.37933210581587e+01°)
1.48593564228699e+00	(1.04398896737073e+02dB,3.37617937385736e+01°)
1.48936107771090e+00	(1.04362528516152e+02dB,3.37303938475464e+01°)
1.49279440957898e+00	(1.04326149900778e+02dB,3.36991214758755e+01°)
1.49623565609442e+00	(1.04289760938562e+02dB,3.36679767136411e+01°)
1.49968483550236e+00	(1.04253361677093e+02dB,3.36369596501988e+01°)
1.50314196609001e+00	(1.04216952163948e+02dB,3.36060703741878e+01°)
1.50660706618673e+00	(1.04180532446683e+02dB,3.35753089735324e+01°)
1.51008015416413e+00	(1.04144102572840e+02dB,3.35446755354468e+01°)
1.51356124843619e+00	(1.04107662589941e+02dB,3.35141701464355e+01°)
1.51705036745932e+00	(1.04071212545489e+02dB,3.34837928923045e+01°)
1.52054752973248e+00	(1.04034752486971e+02dB,3.34535438581538e+01°)
1.52405275379728e+00	(1.03998282461854e+02dB,3.34234231283924e+01°)
1.52756605823806e+00	(1.03961802517584e+02dB,3.33934307867309e+01°)
1.53108746168201e+00	(1.03925312701591e+02dB,3.33635669161921e+01°)
1.53461698279928e+00	(1.03888813061284e+02dB,3.33338315991141e+01°)
1.53815464030302e+00	(1.03852303644050e+02dB,3.33042249171533e+01°)
1.54170045294954e+00	(1.03815784497258e+02dB,3.32747469512823e+01°)
1.54525443953840e+00	(1.03779255668257e+02dB,3.32453977818036e+01°)
1.54881661891247e+00	(1.03742717204372e+02dB,3.32161774883452e+01°)
1.55238700995807e+00	(1.03706169152910e+02dB,3.31870861498669e+01°)
1.55596563160506e+00	(1.03669611561154e+02dB,3.31581238446633e+01°)
1.55955250282694e+00	(1.03633044476369e+02dB,3.31292906503701e+01°)
1.56314764264094e+00	(1.03596467945793e+02dB,3.31005866439608e+01°)
1.56675107010813e+00	(1.03559882016647e+02dB,3.30720119017592e+01°)
1.57036280433354e+00	(1.03523286736127e+02dB,3.30435664994352e+01°)
1.57398286446620e+00	(1.03486682151405e+02dB,3.30152505120144e+01°)
1.57761126969933e+00	(1.03450068309633e+02dB,3.29870640138735e+01°)
1.58124803927037e+00	(1.03413445257938e+02dB,3.29590070787561e+01°)
1.58489319246110e+00	(1.03376813043425e+02dB,3.29310797797638e+01°)
1.58854674859776e+00	(1.03340171713174e+02dB,3.29032821893666e+01°)
1.59220872705115e+00	(1.03303521314241e+02dB,3.28756143794049e+01°)
1.59587914723672e+00	(1.03266861893660e+02dB,3.28480764210939e+01°)
1.59955802861465e+00	(1.03230193498440e+02dB,3.28206683850252e+01°)
1.60324539069002e+00	(1.03193516175564e+02dB,3.27933903411714e+01°)
1.60694125301286e+00	(1.03156829971993e+02dB,3.27662423588904e+01°)
1.61064563517825e+00	(1.03120134934660e+02dB,3.27392245069254e+01°)
1.61435855682647e+00	(1.03083431110476e+02dB,3.27123368534133e+01°)
1.61808003764305e+00	(1.03046718546326e+02dB,3.26855794658858e+01°)
1.62181009735891e+00	(1.03009997289068e+02dB,3.26589524112716e+01°)
1.62554875575047e+00	(1.02973267385536e+02dB,3.26324557559033e+01°)
1.62929603263970e+00	(1.02936528882538e+02dB,3.26060895655151e+01°)
1.63305194789432e+00	(1.02899781826857e+02dB,3.25798539052543e+01°)
1.63681652142779e+00	(1.02863026265248e+02dB,3.25537488396768e+01°)
1.64058977319952e+00	(1.02826262244442e+02dB,3.25277744327576e+01°)
1.64437172321491e+00	(1.02789489811141e+02dB,3.25019307478857e+01°)
1.64816239152549e+00	(1.02752709012023e+02dB,3.24762178478775e+01°)
1.65196179822900e+00	(1.02715919893738e+02dB,3.24506357949744e+01°)
1.65576996346951e+00	(1.02679122502910e+02dB,3.24251846508447e+01°)
1.65958690743754e+00	(1.02642316886135e+02dB,3.23998644765913e+01°)
1.66341265037015e+00	(1.02605503089983e+02dB,3.23746753327545e+01°)
1.66724721255104e+00	(1.02568681160997e+02dB,3.23496172793104e+01°)
1.67109061431069e+00	(1.02531851145691e+02dB,3.23246903756820e+01°)
1.67494287602642e+00	(1.02495013090554e+02dB,3.22998946807362e+01°)
1.67880401812254e+00	(1.02458167042046e+02dB,3.22752302527917e+01°)
1.68267406107045e+00	(1.02421313046599e+02dB,3.22506971496179e+01°)
1.68655302538872e+00	(1.02384451150618e+02dB,3.22262954284425e+01°)
1.69044093164324e+00	(1.02347581400480e+02dB,3.22020251459530e+01°)
1.69433780044731e+00	(1.02310703842535e+02dB,3.21778863582990e+01°)
1.69824365246172e+00	(1.02273818523103e+02dB,3.21538791210969e+01°)
1.70215850839493e+00	(1.02236925488477e+02dB,3.21300034894339e+01°)
1.70608238900310e+00	(1.02200024784923e+02dB,3.21062595178690e+01°)
1.71001531509027e+00	(1.02163116458677e+02dB,3.20826472604388e+01°)
1.71395730750840e+00	(1.02126200555947e+02dB,3.20591667706597e+01°)
1.71790838715757e+00	(1.02089277122913e+02dB,3.20358181015306e+01°)
1.72186857498599e+00	(1.02052346205726e+02dB,3.20126013055357e+01°)
1.72583789199018e+00	(1.02015407850509e+02dB,3.19895164346521e+01°)
1.72981635921508e+00	(1.01978462103357e+02dB,3.19665635403462e+01°)
1.73380399775412e+00	(1.01941509010334e+02dB,3.19437426735823e+01°)
1.73780082874935e+00	(1.01904548617478e+02dB,3.19210538848240e+01°)
1.74180687339159e+00	(1.01867580970798e+02dB,3.18984972240377e+01°)
1.74582215292048e+00	(1.01830606116272e+02dB,3.18760727406937e+01°)
1.74984668862463e+00	(1.01793624099850e+02dB,3.18537804837737e+01°)
1.75388050184174e+00	(1.01756634967456e+02dB,3.18316205017710e+01°)
1.75792361395867e+00	(1.01719638764981e+02dB,3.18095928426937e+01°)
1.76197604641161e+00	(1.01682635538289e+02dB,3.17876975540693e+01°)
1.76603782068614e+00	(1.01645625333216e+02dB,3.17659346829449e+01°)
1.77010895831740e+00	(1.01608608195567e+02dB,3.17443042758948e+01°)
1.77418948089014e+00	(1.01571584171121e+02dB,3.17228063790217e+01°)
1.77827941003890e+00	(1.01534553305624e+02dB,3.17014410379560e+01°)
1.78237876744807e+00	(1.01497515644796e+02dB,3.16802082978654e+01°)
1.78648757485203e+00	(1.01460471234328e+02dB,3.16591082034558e+01°)
1.79060585403527e+00	(1.01423420119880e+02dB,3.16381407989697e+01°)
1.79473362683250e+00	(1.01386362347086e+02dB,3.16173061281961e+01°)
1.79887091512876e+00	(1.01349297961548e+02dB,3.15966042344688e+01°)
1.80301774085954e+00	(1.01312227008840e+02dB,3.15760351606730e+01°)
1.80717412601090e+00	(1.01275149534510e+02dB,3.15555989492443e+01°)
1.81134009261958e+00	(1.01238065584072e+02dB,3.15352956421760e+01°)
1.81551566277311e+00	(1.01200975203015e+02dB,3.15151252810193e+01°)
1.81970085860996e+00	(1.01163878436797e+02dB,3.14950879068866e+01°)
1.82389570231961e+00	(1.01126775330850e+02dB,3.14751835604549e+01°)
1.82810021614272e+00	(1.01089665930573e+02dB,3.14554122819701e+01°)
1.83231442237119e+00	(1.01052550281340e+02dB,3.14357741112470e+01°)
1.83653834334832e+00	(1.01015428428495e+02dB,3.14162690876740e+01°)
1.84077200146893e+00	(1.00978300417353e+02dB,3.13968972502163e+01°)
1.84501541917945e+00	(1.00941166293200e+02dB,3.13776586374198e+01°)
1.84926861897805e+00	(1.00904026101294e+02dB,3.13585532874089e+01°)
1.85353162341478e+00	(1.00866879886866e+02dB,3.13395812378978e+01°)
1.85780445509167e+00	(1.00829727695116e+02dB,3.13207425261849e+01°)
1.86208713666284e+00	(1.00792569571217e+02dB,3.13020371891600e+01°)
1.86637969083464e+00	(1.00755405560313e+02dB,3.12834652633079e+01°)
1.87068214036577e+00	(1.00718235707521e+02dB,3.12650267847097e+01°)
1.87499450806739e+00	(1.00681060057930e+02dB,3.12467217890426e+01°)
1.87931681680324e+00	(1.00643878656598e+02dB,3.12285503115905e+01°)
1.88364908948977e+00	(1.00606691548558e+02dB,3.12105123872384e+01°)
1.88799134909627e+00	(1.00569498778814e+02dB,3.11926080504811e+01°)
1.89234361864495e+00	(1.00532300392342e+02dB,3.11748373354220e+01°)
1.89670592121112e+00	(1.00495096434092e+02dB,3.11572002757782e+01°)
1.90107827992327e+00	(1.00457886948983e+02dB,3.11396969048827e+01°)
1.90546071796322e+00	(1.00420671981908e+02dB,3.11223272556855e+01°)
1.90985325856621e+00	(1.00383451577735e+02dB,3.11050913607604e+01°)
1.91425592502106e+00	(1.00346225781301e+02dB,3.10879892523014e+01°)
1.91866874067026e+00	(1.00308994637418e+02dB,3.10710209621315e+01°)
1.92309172891013e+00	(1.00271758190869e+02dB,3.10541865217017e+01°)
1.92752491319091e+00	(1.00234516486412e+02dB,3.10374859620939e+01°)
1.93196831701689e+00	(1.00197269568777e+02dB,3.10209193140262e+01°)
1.93642196394658e+00	(1.00160017482668e+02dB,3.10044866078498e+01°)
1.94088587759275e+00	(1.00122760272760e+02dB,3.09881878735595e+01°)
1.94536008162263e+00	(1.00085497983705e+02dB,3.09720231407889e+01°)
1.94984459975802e+00	(1.00048230660125e+02dB,3.09559924388165e+01°)
1.95433945577536e+00	(1.00010958346618e+02dB,3.09400957965684e+01°)
1.95884467350596e+00	(9.99736810877566e+01dB,3.09243332426188e+01°)
1.96336027683602e+00	(9.99363989280842e+01dB,3.09087048051941e+01°)
1.96788628970681e+00	(9.98991119121213e+01dB,3.08932105121771e+01°)
1.97242273611482e+00	(9.98618200843607e+01dB,3.08778503911028e+01°)
1.97696964011183e+00	(9.98245234892708e+01dB,3.08626244691697e+01°)
1.98152702580507e+00	(9.97872221712939e+01dB,3.08475327732343e+01°)
1.98609491735734e+00	(9.97499161748471e+01dB,3.08325753298190e+01°)
1.99067333898715e+00	(9.97126055443227e+01dB,3.08177521651123e+01°)
1.99526231496885e+00	(9.96752903240876e+01dB,3.08030633049704e+01°)
1.99986186963271e+00	(9.96379705584839e+01dB,3.07885087749209e+01°)
2.00447202736513e+00	(9.96006462918288e+01dB,3.07740886001634e+01°)
2.00909281260870e+00	(9.95633175684159e+01dB,3.07598028055750e+01°)
2.01372424986236e+00	(9.95259844325132e+01dB,3.07456514157088e+01°)
2.01836636368153e+00	(9.94886469283651e+01dB,3.07316344547985e+01°)
2.02301917867824e+00	(9.94513051001922e+01dB,3.07177519467598e+01°)
2.02768271952125e+00	(9.94139589921909e+01dB,3.07040039151933e+01°)
2.03235701093619e+00	(9.93766086485338e+01dB,3.06903903833855e+01°)
2.03704207770568e+00	(9.93392541133705e+01dB,3.06769113743115e+01°)
2.04173794466950e+00	(9.93018954308266e+01dB,3.06635669106380e+01°)
2.04644463672464e+00	(9.92645326450052e+01dB,3.06503570147241e+01°)
2.05116217882553e+00	(9.92271657999860e+01dB,3.06372817086249e+01°)
2.05589059598411e+00	(9.91897949398262e+01dB,3.06243410140918e+01°)
2.06062991326997e+00	(9.91524201085602e+01dB,3.06115349525755e+01°)
2.06538015581049e+00	(9.91150413502004e+01dB,3.05988635452295e+01°)
