Frequency (Hz),"Trace 1: Gain: Real ","Trace 1: Gain: Imaginary ",Trace 1: Gain: Magnitude (dB),"Trace 2: Gain: Real ","Trace 2: Gain: Imaginary ",Trace 2: Gain: Phase (°)
66.834392,-56.32024175146194,420.30284048818845,52.548535644548636,-56.32024175146194,420.30284048818845,97.6321246918368
69.183097,-52.05523810061466,413.0675297307636,52.388850920467206,-52.05523810061466,413.0675297307636,97.18261559983874
71.614341,-45.33704784594027,401.70120623503834,52.133033644815285,-45.33704784594027,401.70120623503834,96.43930244419644
74.131024,-42.64674341144365,390.7208919039525,51.88876646690012,-42.64674341144365,390.7208919039525,96.22911084092557
76.736149,-37.962335814972704,380.8778672122085,51.658645669286685,-37.962335814972704,380.8778672122085,95.69190769131427
79.432823,-32.769505935479486,372.0064988632549,51.44457993275602,-32.769505935479486,372.0064988632549,95.03410700531836
82.224265,-27.668037956934967,363.478697628029,51.23467084072989,-27.668037956934967,363.478697628029,94.35296649090269
85.113804,-23.04108086706794,352.32850490660076,50.95748954405563,-23.04108086706794,352.32850490660076,93.7416204140032
88.104887,-18.94991699410046,344.16225727971323,50.74841147532871,-18.94991699410046,344.16225727971323,93.15158041490041
91.201084,-13.88905297523494,335.7709953809844,50.528288143529146,-13.88905297523494,335.7709953809844,92.36867008088436
94.406088,-9.86925407778013,325.7172361883723,50.260800222898254,-9.86925407778013,325.7172361883723,91.73553495960871
97.723722,-4.580505211525088,317.3359207247247,50.03128944124187,-4.580505211525088,317.3359207247247,90.82696403182594
101.157945,1.0874253033345471,307.5299497227812,49.757802645455165,1.0874253033345471,307.5299497227812,89.79740307959247
104.712855,4.312999593091083,298.0823807219384,49.48763525180195,4.312999593091083,298.0823807219384,89.17103644253783
108.392691,10.04025088952273,289.5058746745139,49.23836794392328,10.04025088952273,289.5058746745139,88.01374139379796
112.201845,14.18979927129719,281.17136562443545,48.99046874904573,14.18979927129719,281.17136562443545,87.11092044968225
116.144861,18.17466220087403,273.012527919796,48.74285550803221,18.17466220087403,273.012527919796,86.19139369193367
120.226443,21.911889464634267,263.7124171645118,48.45249209396158,21.911889464634267,263.7124171645118,85.25019907479412
124.451461,27.418190363798445,255.9189362914993,48.21161358964912,27.418190363798445,255.9189362914993,83.88487175575612
128.824955,30.365428544591527,245.91562260572437,47.88143986959406,30.365428544591527,245.91562260572437,82.96080274145228
133.352143,33.18982698886186,237.414197003318,47.594190212833325,33.18982698886186,237.414197003318,82.04178921648531
138.038426,37.5653928748642,227.2284549954727,47.24635689182415,37.5653928748642,227.2284549954727,80.6127708598771
142.889396,41.427861349479805,218.54964323142093,46.94431571484746,41.427861349479805,218.54964323142093,79.26647015093847
147.910839,43.35906954513428,211.32030396254274,46.6779166180017,43.35906954513428,211.32030396254274,78.40488066320195
153.108746,45.97450435595649,202.57459007428307,46.34982003740143,45.97450435595649,202.57459007428307,77.21326377026708
158.489319,48.412744951290556,192.700637848827,45.963477687363536,48.412744951290556,192.700637848827,75.8972898059156
164.058977,49.75513512712204,185.2588306978227,45.65805423598053,49.75513512712204,185.2588306978227,74.96676889675334
169.824365,51.86899114373761,176.17914615318793,45.28009694508319,51.86899114373761,176.17914615318793,73.59501738942734
175.792361,52.91217213379543,168.03822132779942,44.91873324489353,52.91217213379543,168.03822132779942,72.52173561395234
181.970086,55.00984054713047,160.152758382898,44.575032535320474,55.00984054713047,160.152758382898,71.04324564086635
188.364909,56.21122110748583,152.35226247886067,44.21125170266236,56.21122110748583,152.35226247886067,69.74817804533322
194.98446,57.04009236233321,145.30356815733722,43.86796699521956,57.04009236233321,145.30356815733722,68.5671083415334
201.836636,56.82398811798802,137.10411352482086,43.429455638639645,56.82398811798802,137.10411352482086,67.48801420026808
208.929613,57.31974170913217,129.7568920399295,43.03679860282425,57.31974170913217,129.7568920399295,66.16669033936154
216.271852,57.405108580524534,122.41085396819742,42.61970576427201,57.405108580524534,122.41085396819742,64.87556432318848
223.872114,57.12900870538099,115.72662764625848,42.2158051554544,57.12900870538099,115.72662764625848,63.726527524535
231.739465,56.44586205441352,109.18046578862025,41.79164126782859,56.44586205441352,109.18046578862025,62.66121790575466
239.883292,55.582064302160695,102.32691019118154,41.32264891469063,55.582064302160695,102.32691019118154,61.49001789578579
248.313311,54.85731780961685,96.46346973348892,40.90417710955133,54.85731780961685,96.46346973348892,60.37376434485553
257.039578,53.74551399617574,90.90624117127324,40.47373203836663,53.74551399617574,90.90624117127324,59.40760596848203
266.072506,52.874184847005296,85.16339229654713,40.02100493927094,52.874184847005296,85.16339229654713,58.16568257881087
275.42287,51.547927176786196,80.15335547516004,39.58169503858972,51.547927176786196,80.15335547516004,57.25426949551636
285.101827,50.33629376590283,74.83596282947758,39.10312913814009,50.33629376590283,74.83596282947758,56.074366412930736
295.120923,48.76218724589678,70.25834242297304,38.641541000614836,48.76218724589678,70.25834242297304,55.23775716897094
305.492111,47.20832278052423,65.7083478685601,38.159901136126486,47.20832278052423,65.7083478685601,54.30455176404196
316.227766,45.84038718580008,61.13419626065884,37.66318470749451,45.84038718580008,61.13419626065884,53.13625697291162
327.340695,44.19973328439861,57.494927414934466,37.20926548990373,44.19973328439861,57.494927414934466,52.448399784284724
338.844156,42.45853321726894,53.3602790580581,36.67457288725795,42.45853321726894,53.3602790580581,51.49089225092539
350.751874,40.93444432130242,49.88402150430638,36.195153446667064,40.93444432130242,49.88402150430638,50.62796103408205
363.078055,39.27319952445696,46.60491960616684,35.69888990133491,39.27319952445696,46.60491960616684,49.879711682383146
375.837404,37.69092860503783,43.470448244397915,35.19865513319195,37.69092860503783,43.470448244397915,49.073169574591674
389.045145,36.14040684821631,40.53504065688892,34.69706953657139,36.14040684821631,40.53504065688892,48.28030428712703
402.717034,34.409106483134394,37.91895052337165,34.186050946594904,34.409106483134394,37.91895052337165,47.77819740789175
416.869383,32.86752421110157,35.29621118093796,33.66627759844344,32.86752421110157,35.29621118093796,47.04059638933056
431.519077,31.279403483505213,32.888290058115835,33.138758018654705,31.279403483505213,32.888290058115835,46.436285074450495
446.683592,29.78350711226947,30.611126770955877,32.610482571893655,29.78350711226947,30.611126770955877,45.7851052741568
462.381021,28.32111464533359,28.585718404963387,32.093082281402246,28.32111464533359,28.585718404963387,45.2664103517807
478.630092,26.899054783309285,26.723987367413805,31.576775309783542,26.899054783309285,26.723987367413805,44.81294257056482
495.450191,25.538440809910195,24.989327306349537,31.060815236609642,25.538440809910195,24.989327306349537,44.377359244263744
512.861384,24.215450262719706,23.313622322872,30.53045011990685,24.215450262719706,23.313622322872,43.91298667441462
530.884444,22.92801321836502,21.851203583745253,30.01374054694109,22.92801321836502,21.851203583745253,43.6224690012328
549.540874,21.684664451021597,20.388850548616404,29.473993588380353,21.684664451021597,20.388850548616404,43.235916213195274
568.852931,20.486391197313015,19.07416198552318,28.940478028636704,20.486391197313015,19.07416198552318,42.95552836641009
588.843655,19.3355570932218,17.835366288357992,28.40083537384463,19.3355570932218,17.835366288357992,42.68883929385027
609.536897,18.218208758954393,16.723945454501987,27.864628482768556,18.218208758954393,16.723945454501987,42.55130012992351
630.957344,17.220110481238407,15.714931530042978,27.351925788628776,17.220110481238407,15.714931530042978,42.38332092551624
653.130553,16.232070706467773,14.711926684508061,26.811696689681398,16.232070706467773,14.711926684508061,42.18756850875035
676.082975,15.324704787443272,13.803153839996943,26.28770566185391,15.324704787443272,13.803153839996943,42.00976018661041
699.841996,14.441587517745125,12.938557199547029,25.751482396678472,14.441587517745125,12.938557199547029,41.857907535528874
724.43596,13.579171214151469,12.192248227721109,25.225026672358037,13.579171214151469,12.192248227721109,41.91952352140498
749.894209,12.79476068944487,11.472644506855815,24.703038494453814,12.79476068944487,11.472644506855815,41.88154290640085
776.247117,12.028251651894653,10.760201567071615,24.157423294083834,12.028251651894653,10.760201567071615,41.815094458104895
803.526122,11.302452443121886,10.137371453698254,23.626930324335113,11.302452443121886,10.137371453698254,41.88949729171239
831.763771,10.621386856599718,9.601462711959792,23.11757981466973,10.621386856599718,9.601462711959792,42.11277696748218
860.993752,10.03084490714978,9.053210130150683,22.6144954724079,10.03084490714978,9.053210130150683,42.06742491496326
891.250938,9.378187704759252,8.5438742706953,22.06686102916443,9.378187704759252,8.5438742706953,42.33467320097568
922.571427,8.810207603802226,8.082526864462672,21.55175040893264,8.810207603802226,8.082526864462672,42.53342032538944
954.992586,8.259107478942685,7.6397841364334935,21.0236220243698,8.259107478942685,7.6397841364334935,42.76923557334229
988.553095,7.743546261357702,7.23097749818342,20.501845864981732,7.743546261357702,7.23097749818342,43.039566020522535
1023.292992,7.313533886186087,6.8425539545502465,20.01336967685182,7.313533886186087,6.8425539545502465,43.0944444272709
1059.253725,6.846141958167541,6.514401337159513,19.508859116787402,6.846141958167541,6.514401337159513,43.57764520877627
1096.478196,6.436998256044573,6.177566501995851,19.008981969066653,6.436998256044573,6.177566501995851,43.82181829422422
1135.010816,6.013581913886301,5.8577391981024105,18.48042947362539,6.013581913886301,5.8577391981024105,44.24788345664891
1174.897555,5.641333614958213,5.561606585355675,17.976560347115083,5.641333614958213,5.561606585355675,44.59225479094757
1216.186001,5.311572035707357,5.299544930999297,17.504927658791104,5.311572035707357,5.299544930999297,44.935058481910936
1258.925412,4.981326113197166,5.053869404211569,17.020443752612756,4.981326113197166,5.053869404211569,45.41417748181302
1303.166778,4.666681349983199,4.816850570492699,16.530191058337877,4.666681349983199,4.816850570492699,45.90718770222121
1348.962883,4.372375875090166,4.593353999608041,16.04405046626237,4.372375875090166,4.593353999608041,46.41188182638115
1396.368361,4.101847453186022,4.373959309171642,15.557794952848663,4.101847453186022,4.373959309171642,46.83882291604299
