Freq.	V(A)/I(RDC_AB)
1.29419584144998e+01	(-2.94434329289760e+01dB,1.28426798101535e+00°)
1.29717927098395e+01	(-2.94431974614747e+01dB,1.28675934453535e+00°)
1.30016957803328e+01	(-2.94429610892751e+01dB,1.28925356324126e+00°)
1.30316677845229e+01	(-2.94427238096770e+01dB,1.29175062748646e+00°)
1.30617088813183e+01	(-2.94424856199784e+01dB,1.29425052752718e+00°)
1.30918192299940e+01	(-2.94422465174757e+01dB,1.29675325352210e+00°)
1.31219989901919e+01	(-2.94420064994560e+01dB,1.29925879553084e+00°)
1.31522483219223e+01	(-2.94417655632093e+01dB,1.30176714351527e+00°)
1.31825673855640e+01	(-2.94415237060292e+01dB,1.30427828733934e+00°)
1.32129563418657e+01	(-2.94412809252050e+01dB,1.30679221676740e+00°)
1.32434153519466e+01	(-2.94410372180271e+01dB,1.30930892146463e+00°)
1.32739445772973e+01	(-2.94407925817698e+01dB,1.31182839099409e+00°)
1.33045441797808e+01	(-2.94405470137312e+01dB,1.31435061482228e+00°)
1.33352143216332e+01	(-2.94403005111912e+01dB,1.31687558231239e+00°)
1.33659551654643e+01	(-2.94400530714343e+01dB,1.31940328272743e+00°)
1.33967668742593e+01	(-2.94398046917425e+01dB,1.32193370522868e+00°)
1.34276496113785e+01	(-2.94395553694015e+01dB,1.32446683887626e+00°)
1.34586035405594e+01	(-2.94393051016841e+01dB,1.32700267262617e+00°)
1.34896288259164e+01	(-2.94390538858842e+01dB,1.32954119533517e+00°)
1.35207256319427e+01	(-2.94388017192769e+01dB,1.33208239575418e+00°)
1.35518941235103e+01	(-2.94385485991343e+01dB,1.33462626253038e+00°)
1.35831344658714e+01	(-2.94382945227526e+01dB,1.33717278421092e+00°)
1.36144468246594e+01	(-2.94380394874032e+01dB,1.33972194923507e+00°)
1.36458313658891e+01	(-2.94377834903649e+01dB,1.34227374593876e+00°)
1.36772882559584e+01	(-2.94375265289202e+01dB,1.34482816255359e+00°)
1.37088176616484e+01	(-2.94372686003445e+01dB,1.34738518720483e+00°)
1.37404197501250e+01	(-2.94370097019261e+01dB,1.34994480791404e+00°)
1.37720946889394e+01	(-2.94367498309326e+01dB,1.35250701259361e+00°)
1.38038426460287e+01	(-2.94364889846591e+01dB,1.35507178905372e+00°)
1.38356637897177e+01	(-2.94362271603702e+01dB,1.35763912499305e+00°)
1.38675582887188e+01	(-2.94359643553578e+01dB,1.36020900800730e+00°)
1.38995263121334e+01	(-2.94357005668949e+01dB,1.36278142558165e+00°)
1.39315680294529e+01	(-2.94354357922731e+01dB,1.36535636509628e+00°)
1.39636836105593e+01	(-2.94351700287694e+01dB,1.36793381382075e+00°)
1.39958732257261e+01	(-2.94349032736683e+01dB,1.37051375891706e+00°)
1.40281370456195e+01	(-2.94346355242493e+01dB,1.37309618743738e+00°)
1.40604752412990e+01	(-2.94343667777995e+01dB,1.37568108632559e+00°)
1.40928879842186e+01	(-2.94340970316028e+01dB,1.37826844241529e+00°)
1.41253754462274e+01	(-2.94338262829545e+01dB,1.38085824243163e+00°)
1.41579377995707e+01	(-2.94335545291370e+01dB,1.38345047298723e+00°)
1.41905752168908e+01	(-2.94332817674313e+01dB,1.38604512058348e+00°)
1.42232878712281e+01	(-2.94330079951455e+01dB,1.38864217161481e+00°)
1.42560759360218e+01	(-2.94327332095491e+01dB,1.39124161235787e+00°)
1.42889395851109e+01	(-2.94324574079572e+01dB,1.39384342898453e+00°)
1.43218789927353e+01	(-2.94321805876549e+01dB,1.39644760754952e+00°)
1.43548943335364e+01	(-2.94319027459361e+01dB,1.39905413399621e+00°)
1.43879857825583e+01	(-2.94316238801016e+01dB,1.40166299415600e+00°)
1.44211535152486e+01	(-2.94313439874467e+01dB,1.40427417374592e+00°)
1.44543977074592e+01	(-2.94310630652837e+01dB,1.40688765837201e+00°)
1.44877185354475e+01	(-2.94307811109079e+01dB,1.40950343352334e+00°)
1.45211161758773e+01	(-2.94304981216331e+01dB,1.41212148457755e+00°)
1.45545908058195e+01	(-2.94302140947577e+01dB,1.41474179679487e+00°)
1.45881426027534e+01	(-2.94299290275956e+01dB,1.41736435532289e+00°)
1.46217717445671e+01	(-2.94296429174723e+01dB,1.41998914519556e+00°)
1.46554784095590e+01	(-2.94293557616865e+01dB,1.42261615132660e+00°)
1.46892627764385e+01	(-2.94290675575594e+01dB,1.42524535851718e+00°)
1.47231250243271e+01	(-2.94287783024211e+01dB,1.42787675145340e+00°)
1.47570653327588e+01	(-2.94284879935862e+01dB,1.43051031470193e+00°)
1.47910838816819e+01	(-2.94281966283863e+01dB,1.43314603271507e+00°)
1.48251808514594e+01	(-2.94279042041463e+01dB,1.43578388982644e+00°)
1.48593564228699e+01	(-2.94276107181981e+01dB,1.43842387025301e+00°)
1.48936107771090e+01	(-2.94273161678839e+01dB,1.44106595809522e+00°)
1.49279440957898e+01	(-2.94270205505431e+01dB,1.44371013733463e+00°)
1.49623565609442e+01	(-2.94267238635070e+01dB,1.44635639183255e+00°)
1.49968483550236e+01	(-2.94264261041351e+01dB,1.44900470533593e+00°)
1.50314196609001e+01	(-2.94261272697619e+01dB,1.45165506146808e+00°)
1.50660706618673e+01	(-2.94258273577547e+01dB,1.45430744373803e+00°)
1.51008015416413e+01	(-2.94255263654636e+01dB,1.45696183553195e+00°)
1.51356124843619e+01	(-2.94252242902453e+01dB,1.45961822011664e+00°)
1.51705036745932e+01	(-2.94249211294761e+01dB,1.46227658064167e+00°)
1.52054752973248e+01	(-2.94246168805128e+01dB,1.46493690013228e+00°)
1.52405275379728e+01	(-2.94243115407438e+01dB,1.46759916149784e+00°)
1.52756605823806e+01	(-2.94240051075321e+01dB,1.47026334752186e+00°)
1.53108746168201e+01	(-2.94236975782665e+01dB,1.47292944087045e+00°)
1.53461698279928e+01	(-2.94233889503249e+01dB,1.47559742408569e+00°)
1.53815464030302e+01	(-2.94230792211181e+01dB,1.47826727959289e+00°)
1.54170045294954e+01	(-2.94227683880187e+01dB,1.48093898968822e+00°)
1.54525443953840e+01	(-2.94224564484382e+01dB,1.48361253655148e+00°)
1.54881661891247e+01	(-2.94221433997882e+01dB,1.48628790223930e+00°)
1.55238700995807e+01	(-2.94218292394694e+01dB,1.48896506868300e+00°)
1.55596563160506e+01	(-2.94215139649057e+01dB,1.49164401769406e+00°)
1.55955250282694e+01	(-2.94211975735182e+01dB,1.49432473095952e+00°)
