Freq.	V(p15v_pri)/V(inj)
1.24165230759240e+00	(6.92991117637672e+01dB,1.02250974067105e+02°)
1.24451461177138e+00	(6.92803583910211e+01dB,1.02227623536383e+02°)
1.24738351424294e+00	(6.92616025599272e+01dB,1.02204316175883e+02°)
1.25025903021771e+00	(6.92428442785023e+01dB,1.02181051869553e+02°)
1.25314117494141e+00	(6.92240835546889e+01dB,1.02157830501564e+02°)
1.25602996369487e+00	(6.92053203963553e+01dB,1.02134651956309e+02°)
1.25892541179416e+00	(6.91865548112957e+01dB,1.02111516118412e+02°)
1.26182753459066e+00	(6.91677868072309e+01dB,1.02088422872723e+02°)
1.26473634747114e+00	(6.91490163918087e+01dB,1.02065372104323e+02°)
1.26765186585784e+00	(6.91302435726038e+01dB,1.02042363698528e+02°)
1.27057410520853e+00	(6.91114683571186e+01dB,1.02019397540887e+02°)
1.27350308101665e+00	(6.90926907527830e+01dB,1.01996473517187e+02°)
1.27643880881134e+00	(6.90739107669555e+01dB,1.01973591513452e+02°)
1.27938130415752e+00	(6.90551284069227e+01dB,1.01950751415950e+02°)
1.28233058265601e+00	(6.90363436799003e+01dB,1.01927953111188e+02°)
1.28528665994361e+00	(6.90175565930331e+01dB,1.01905196485921e+02°)
1.28824955169313e+00	(6.89987671533954e+01dB,1.01882481427148e+02°)
1.29121927361353e+00	(6.89799753679913e+01dB,1.01859807822119e+02°)
1.29419584144998e+00	(6.89611812437554e+01dB,1.01837175558331e+02°)
1.29717927098395e+00	(6.89423847875526e+01dB,1.01814584523537e+02°)
1.30016957803328e+00	(6.89235860061789e+01dB,1.01792034605740e+02°)
1.30316677845229e+00	(6.89047849063615e+01dB,1.01769525693202e+02°)
1.30617088813183e+00	(6.88859814947592e+01dB,1.01747057674441e+02°)
1.30918192299940e+00	(6.88671757779628e+01dB,1.01724630438234e+02°)
1.31219989901919e+00	(6.88483677624956e+01dB,1.01702243873621e+02°)
1.31522483219223e+00	(6.88295574548134e+01dB,1.01679897869904e+02°)
